"","title","rank","studio","lifetime_gross","year","omdb.Awards","omdb.Genre","omdb.Metascore","omdb.imdbRating"
"4033","The International",2952,"Sony",25450527,2009,NA,NA,NA,NA
"4034","The Internship",1858,"Fox",44672764,2013,NA,NA,NA,NA
"4035","The Interpreter",1060,"Uni.",72708161,2005,NA,NA,NA,NA
"4036","The Intouchables (U.S.-only)",4632,"Wein.",10198820,2012,NA,NA,NA,NA
"4037","The Invasion",3933,"WB",15074191,2007,NA,NA,NA,NA
"4038","The Invention of Lying",3555,"WB",18451251,2009,NA,NA,NA,NA
"4039","The Invisible",3346,"BV",20578909,2007,NA,NA,NA,NA
"4040","The Iron Giant",3113,"WB",23159305,1999,NA,NA,NA,NA
"4041","The Iron Lady",2668,"Wein.",30017992,2011,NA,NA,NA,NA
"4042","The Island",2291,"DW",35818913,2005,NA,NA,NA,NA
"4043","The Island (1980)",3858,"Uni.",15716828,1980,NA,NA,NA,NA
"4044","The Island of Dr. Moreau",2791,"NL",27663982,1996,NA,NA,NA,NA
"4045","The Italian Job",635,"Par.",106128601,2003,NA,NA,NA,NA
"4046","The Jackal",1495,"Uni.",54930280,1997,NA,NA,NA,NA
"4047","The Jazz Singer",2816,"Uni.",27118000,1980,NA,NA,NA,NA
"4048","The Jerk",1047,"Uni.",73691419,1979,NA,NA,NA,NA
"4049","The Jewel of the Nile",1004,"Fox",75973200,1985,NA,NA,NA,NA
"4050","The Journey of Natty Gann",4711,"BV",9708373,1985,NA,NA,NA,NA
"4051","The Joy Luck Club",2457,"BV",32901136,1993,NA,NA,NA,NA
"4052","The Judge",1766,"WB",47119388,2014,NA,NA,NA,NA
"4053","The Jungle Book",381,"Dis.",141843612,1967,"Won 1 Oscar. Another 31 wins & 54 nominations.","Adventure, Drama, Family, Fantasy","77","7.4"
"4054","The Jungle Book (1994)",1913,"BV",43229904,1994,NA,NA,NA,NA
"4055","The Jungle Book (2016)",43,"BV",364001123,2016,NA,NA,NA,NA
"4056","The Jungle Book 2",1739,"BV",47901582,2003,NA,NA,NA,NA
"4057","The Juror",3145,"Sony",22754725,1996,NA,NA,NA,NA
"4058","The Karate Kid",255,"Sony",176591618,2010,"Nominated for 1 Oscar. Another 2 wins & 2 nominations.","Action, Drama, Family","60","7.2"
"4059","The Karate Kid",255,"Sony",176591618,2010,"Nominated for 1 Oscar. Another 2 wins & 2 nominations.","Action, Drama, Family","60","7.2"
"4060","The Karate Kid",791,"Col.",90815558,1984,"Nominated for 1 Oscar. Another 2 wins & 2 nominations.","Action, Drama, Family","60","7.2"
"4061","The Karate Kid",791,"Col.",90815558,1984,"Nominated for 1 Oscar. Another 2 wins & 2 nominations.","Action, Drama, Family","60","7.2"
"4062","The Karate Kid Part II",564,"Col.",115103979,1986,NA,NA,NA,NA
"4063","The Karate Kid Part III",2114,"Col.",38956288,1989,NA,NA,NA,NA
"4064","The Kids Are All Right",3323,"Focus",20811365,2010,NA,NA,NA,NA
"4065","The Killing Fields",2355,"WB",34700291,1984,NA,NA,NA,NA
"4066","The King's Speech",398,"Wein.",138797449,2010,"Won 4 Oscars. Another 102 wins & 194 nominations.","Biography, Drama, History","88","8.0"
"4067","The King and I (1999)",4368,"WB",11993021,1999,NA,NA,NA,NA
"4068","The Kingdom",1751,"Uni.",47536778,2007,NA,NA,NA,NA
"4069","The Kite Runner",3848,"ParV",15800078,2007,NA,NA,NA,NA
"4070","The Ladies Man",4142,"Par.",13616610,2000,NA,NA,NA,NA
"4071","The Lady in the Van",4669,"SPC",10021175,2015,NA,NA,NA,NA
"4072","The Ladykillers",2072,"BV",39799191,2004,NA,NA,NA,NA
"4073","The Lake House",1579,"WB",52330111,2006,NA,NA,NA,NA
"4074","The Land Before Time",1729,"Uni.",48092846,1988,NA,NA,NA,NA
"4075","The Last Airbender",441,"Par.",131772187,2010,"8 wins & 11 nominations.","Action, Adventure, Family","20","4.1"
"4076","The Last Boy Scout",1365,"WB",59509925,1991,NA,NA,NA,NA
"4077","The Last Castle",3577,"DW",18244060,2001,NA,NA,NA,NA
"4078","The Last Dragon",2923,"TriS",25754284,1985,NA,NA,NA,NA
"4079","The Last Emperor",1883,"Col.",43984230,1987,NA,NA,NA,NA
"4080","The Last Exorcism",2006,"LGF",41034350,2010,NA,NA,NA,NA
"4081","The Last Exorcism Part II",3918,"CBS",15179302,2013,NA,NA,NA,NA
"4082","The Last Flight of Noah's Ark",4505,"BV",1.1e+07,1980,NA,NA,NA,NA
"4083","The Last House on the Left (2009)",2465,"Uni.",32752215,2009,NA,NA,NA,NA
"4084","The Last King of Scotland",3635,"FoxS",17606684,2006,NA,NA,NA,NA
"4085","The Last Kiss (2006)",4410,"P/DW",11614790,2006,NA,NA,NA,NA
"4086","The Last Mimzy",3248,"NL",21471047,2007,NA,NA,NA,NA
"4087","The Last of the Mohicans",1020,"Fox",75505856,1992,NA,NA,NA,NA
"4088","The Last Picture Show",2707,"Col.",29133000,1971,NA,NA,NA,NA
"4089","The Last Samurai",593,"WB",111127263,2003,NA,NA,NA,NA
"4090","The Last Song",1287,"BV",62950384,2010,NA,NA,NA,NA
"4091","The Last Stand",4357,"LGF",12050299,2013,NA,NA,NA,NA
"4092","The Last Starfighter",2735,"Uni.",28733290,1984,NA,NA,NA,NA
"4093","The Last Temptation of Christ",4894,"Uni.",8373585,1988,NA,NA,NA,NA
"4094","The Last Witch Hunter",2804,"LG/S",27367660,2015,NA,NA,NA,NA
"4095","The Lawnmower Man",2516,"NL",32100816,1992,NA,NA,NA,NA
"4096","The Lazarus Effect",2918,"Rela.",25801047,2015,NA,NA,NA,NA
"4097","The League of Extraordinary Gentlemen",1196,"Fox",66465204,2003,NA,NA,NA,NA
"4098","The Legacy",4452,"Uni.",11364985,1979,NA,NA,NA,NA
"4099","The Legend of Bagger Vance",2601,"DW",30919168,2000,NA,NA,NA,NA
"4100","The Legend of Drunken Master",4421,"Mira.",11555430,2000,NA,NA,NA,NA
"4101","The Legend of Hercules",3513,"LG/S",18848538,2014,NA,NA,NA,NA
"4102","The Legend of Tarzan",480,"WB",126643061,2016,"2 wins & 4 nominations.","Action, Adventure, Drama","44","6.3"
"4103","The Legend of the Lone Ranger",4276,"Uni.",12617845,1981,NA,NA,NA,NA
"4104","The Legend of Zorro",1792,"Sony",46464023,2005,NA,NA,NA,NA
"4105","The LEGO Batman Movie",260,"WB",175750384,2017,NA,NA,NA,NA
"4106","The LEGO Movie",109,"WB",257760692,2014,NA,NA,NA,NA
"4107","The LEGO Ninjago Movie",1369,"WB",59281555,2017,NA,NA,NA,NA
"4108","The Life Aquatic with Steve Zissou",3059,"BV",24020403,2004,NA,NA,NA,NA
"4109","The Life of David Gale",3416,"Uni.",19955598,2003,NA,NA,NA,NA
"4110","The Light Between Oceans",4285,"BV",12545979,2016,NA,NA,NA,NA
"4111","The Lincoln Lawyer",1404,"LGF",58009200,2011,NA,NA,NA,NA
"4112","The Lion King",22,"BV",422783777,1994,"Won 2 Oscars. Another 33 wins & 29 nominations.","Animation, Adventure, Drama","83","8.5"
"4113","The Little Drummer Girl",4997,"WB",7828841,1984,NA,NA,NA,NA
"4114","The Little Mermaid",590,"BV",111543479,1989,NA,NA,NA,NA
"4115","The Little Rascals",1586,"Uni.",52125282,1994,NA,NA,NA,NA
"4116","The Little Vampire",4147,"NL",13572400,2000,NA,NA,NA,NA
"4117","The Lives of Others",4464,"SPC",11286112,2007,NA,NA,NA,NA
"4118","The Living Daylights",1624,"UA",51185897,1987,NA,NA,NA,NA
"4119","The Lizzie McGuire Movie",1938,"BV",42734455,2003,NA,NA,NA,NA
"4120","The Lobster (US Release)",4796,"A24",9077245,2016,NA,NA,NA,NA
"4121","The Lone Ranger",811,"BV",89302115,2013,NA,NA,NA,NA
"4122","The Long Kiss Goodnight",2427,"NL",33447612,1996,NA,NA,NA,NA
"4123","The Long Riders",3849,"UA",15795189,1980,NA,NA,NA,NA
"4124","The Longest Ride",2200,"Fox",37446117,2015,NA,NA,NA,NA
"4125","The Longest Yard",316,"Par.",158119460,2005,"2 wins & 17 nominations.","Comedy, Crime, Sport","48","6.4"
"4126","The Longest Yard (1974)",1927,"Par.",43008075,1974,NA,NA,NA,NA
"4127","The Longshots",4426,"MGM/W",11537046,2008,NA,NA,NA,NA
"4128","The Lord of the Flies",4099,"Col.",13985225,1990,NA,NA,NA,NA
"4129","The Lord of the Rings (1978)",2629,"UA",30471420,1978,NA,NA,NA,NA
"4130","The Lord of the Rings: The Fellowship of the Ring",67,"NL",315544750,2001,"Won 4 Oscars. Another 113 wins & 123 nominations.","Adventure, Drama, Fantasy","92","8.8"
"4131","The Lord of the Rings: The Return of the King",38,"NL",377845905,2003,"Won 11 Oscars. Another 197 wins & 122 nominations.","Action, Adventure, Drama","94","8.9"
"4132","The Lord of the Rings: The Two Towers",49,"NL",342551365,2002,"Won 2 Oscars. Another 118 wins & 137 nominations.","Adventure, Drama, Fantasy","87","8.7"
"4133","The Lords of Discipline",4394,"Par.",11787127,1983,NA,NA,NA,NA
"4134","The Losers",3083,"WB",23591432,2010,NA,NA,NA,NA
"4135","The Lost Boys",2507,"WB",32222567,1987,NA,NA,NA,NA
"4136","The Lost City of Z",4863,"BST",8580410,2017,"5 wins & 28 nominations.","Adventure, Biography, Drama","78","6.6"
"4137","The Lost World: Jurassic Park",143,"Uni.",229086679,1997,"Nominated for 1 Oscar. Another 4 wins & 23 nominations.","Action, Adventure, Sci-Fi","59","6.5"
"4138","The Love Bug",1621,"Dis.",51264000,1969,NA,NA,NA,NA
"4139","The Love Guru",2506,"Par.",32235793,2008,NA,NA,NA,NA
"4140","The Love Letter",4910,"DW",8302478,1999,NA,NA,NA,NA
"4141","The Lovely Bones",1876,"P/DW",44114232,2009,NA,NA,NA,NA
"4142","The Lucky One",1333,"WB",60457138,2012,NA,NA,NA,NA
"4143","The Madness of King George",3914,"Gold.",15238689,1994,NA,NA,NA,NA
"4144","The Magnificent Seven (2016)",764,"Sony",93432655,2016,NA,NA,NA,NA
"4145","The Main Event",1934,"WB",42800000,1979,NA,NA,NA,NA
"4146","The Majestic",2780,"WB",27807266,2001,NA,NA,NA,NA
"4147","The Man",4905,"NL",8330720,2005,NA,NA,NA,NA
"4148","The Man From Snowy River",3341,"Fox",20659423,1982,NA,NA,NA,NA
"4149","The Man From U.N.C.L.E.",1828,"WB",45445109,2015,NA,NA,NA,NA
"4150","The Man in the Iron Mask",1441,"MGM",56968902,1998,NA,NA,NA,NA
"4151","The Man Who Knew Too Little",4129,"WB",13717039,1997,NA,NA,NA,NA
"4152","The Man Who Loved Women",4511,"Col.",10964231,1983,NA,NA,NA,NA
"4153","The Man with One Red Shoe",4852,"Fox",8645411,1985,NA,NA,NA,NA
"4154","The Man with the Golden Gun",3313,"UA",20972000,1974,NA,NA,NA,NA
"4155","The Man with the Iron Fists",3868,"Uni.",15634090,2012,NA,NA,NA,NA
"4156","The Man with Two Brains",4607,"WB",10353438,1983,NA,NA,NA,NA
"4157","The Man Without a Face",3008,"WB",24760338,1993,NA,NA,NA,NA
"4158","The Manchurian Candidate",1206,"Par.",65955630,2004,NA,NA,NA,NA
"4159","The Marine",3515,"Fox",18844784,2006,NA,NA,NA,NA
"4160","The Marrying Man",4301,"BV",12454768,1991,NA,NA,NA,NA
"4161","The Martian",146,"Fox",228433663,2015,"Nominated for 7 Oscars. Another 37 wins & 185 nominations.","Adventure, Drama, Sci-Fi","80","8.0"
"4162","The Mask",523,"NL",119938730,1994,NA,NA,NA,NA
"4163","The Mask of Zorro",754,"Sony",94095523,1998,NA,NA,NA,NA
"4164","The Master",3779,"Wein.",16377274,2012,NA,NA,NA,NA
"4165","The Master of Disguise",2041,"SonR",40388794,2002,NA,NA,NA,NA
"4166","The Matador",4279,"Wein.",12594698,2005,NA,NA,NA,NA
"4167","The Matrix",274,"WB",171479930,1999,"Won 4 Oscars. Another 34 wins & 48 nominations.","Action, Sci-Fi","73","8.7"
"4168","The Matrix Reloaded",93,"WB",281576461,2003,"8 wins & 31 nominations.","Action, Sci-Fi","62","7.2"
"4169","The Matrix Revolutions",396,"WB",139313948,2003,"4 wins & 30 nominations.","Action, Sci-Fi","47","6.7"
"4170","The Maze Runner",668,"Fox",102427862,2014,NA,NA,NA,NA
"4171","The Mechanic",2708,"CBS",29121498,2011,NA,NA,NA,NA
"4172","The Medallion",3190,"TriS",22219192,2003,NA,NA,NA,NA
"4173","The Meg",378,"WB",142860491,2018,"N/A","Action, Horror, Sci-Fi","46","6.0"
"4174","The Men Who Stare at Goats",2492,"Over.",32428195,2009,NA,NA,NA,NA
"4175","The Messenger: The Story of Joan of Arc",4051,"Sony",14276317,1999,NA,NA,NA,NA
"4176","The Messengers",2314,"SGem",35374833,2007,NA,NA,NA,NA
"4177","The Meteor Man",4967,"MGM",8016708,1993,NA,NA,NA,NA
"4178","The Mexican",1185,"DW",66845033,2001,NA,NA,NA,NA
"4179","The Mighty Ducks",1642,"BV",50752337,1992,NA,NA,NA,NA
"4180","The Milagro Beanfield War",4117,"Uni.",13825794,1988,NA,NA,NA,NA
"4181","The Miracle Season",4626,"Mirr/LD",10230620,2018,NA,NA,NA,NA
"4182","The Mirror Crack'd",4504,"AFD",1.1e+07,1980,NA,NA,NA,NA
"4183","The Mirror Has Two Faces",2004,"Sony",41083864,1996,NA,NA,NA,NA
"4184","The Missing",2827,"SonR",27011180,2003,NA,NA,NA,NA
"4185","The Mission",3694,"WB",17218023,1986,NA,NA,NA,NA
"4186","The Mist",2933,"MGM/W",25594957,2007,NA,NA,NA,NA
"4187","The Mod Squad",4185,"MGM",13263993,1999,NA,NA,NA,NA
"4188","The Money Pit",2195,"Uni.",37499651,1986,NA,NA,NA,NA
"4189","The Monuments Men",971,"Sony",78031620,2014,NA,NA,NA,NA
"4190","The Morning After",2972,"Fox",25147055,1986,NA,NA,NA,NA
"4191","The Mortal Instruments: City of Bones",2584,"SGem",31165421,2013,NA,NA,NA,NA
"4192","The Mosquito Coast",4046,"WB",14302779,1986,NA,NA,NA,NA
"4193","The Mothman Prophecies",2294,"SGem",35746370,2002,NA,NA,NA,NA
"4194","The Motorcycle Diaries",3745,"Focus",16781387,2004,NA,NA,NA,NA
"4195","The Mountain Between Us",2635,"Fox",30348555,2017,"2 wins & 1 nomination.","Action, Adventure, Drama, Romance, Thriller","48","6.4"
"4196","The Mummy",324,"Uni.",155385488,1999,"Nominated for 1 Oscar. Another 5 wins & 19 nominations.","Action, Adventure, Fantasy","48","7.0"
"4197","The Mummy (2017)",939,"Uni.",80227895,2017,NA,NA,NA,NA
"4198","The Mummy Returns",192,"Uni.",202019785,2001,"6 wins & 16 nominations.","Action, Adventure, Fantasy, Thriller","48","6.3"
"4199","The Mummy: Tomb of the Dragon Emperor",666,"Uni.",102491776,2008,NA,NA,NA,NA
"4200","The Muppet Christmas Carol",2810,"BV",27281507,1992,NA,NA,NA,NA
"4201","The Muppet Movie",1223,"AFD",65200000,1979,NA,NA,NA,NA
