"","title","rank","studio","lifetime_gross","year","omdb.Awards","omdb.Genre","omdb.Metascore","omdb.imdbRating"
"1","(500) Days of Summer",2495,"FoxS",32391374,2009,NA,NA,NA,NA
"2","* batteries not included",2455,"Uni.",32945797,1987,NA,NA,NA,NA
"3","...And Justice for All",2438,"Col.",33300000,1979,NA,NA,NA,NA
"4","10",1031,"WB",74865517,1979,NA,NA,NA,NA
"5","10 Cloverfield Lane",1073,"Par.",72082998,2016,NA,NA,NA,NA
"6","10 Things I Hate About You",2152,"BV",38178166,1999,NA,NA,NA,NA
"7","10,000 B.C.",750,"WB",94784201,2008,NA,NA,NA,NA
"8","101 Dalmatians",366,"Dis.",144880014,1961,"Won 1 BAFTA Film Award. Another 2 nominations.","Animation, Adventure, Comedy","N/A","7.2"
"9","101 Dalmatians (1996)",413,"BV",136189294,1996,NA,NA,NA,NA
"10","102 Dalmatians",1181,"BV",66957026,2000,NA,NA,NA,NA
"11","12 Monkeys",1433,"Uni.",57141459,1995,NA,NA,NA,NA
"12","12 Rounds",4335,"Fox",12234694,2009,NA,NA,NA,NA
"13","12 Strong",1827,"WB",45500164,2018,NA,NA,NA,NA
"14","12 Years a Slave",1447,"FoxS",56671993,2013,NA,NA,NA,NA
"15","127 Hours",3565,"FoxS",18335230,2010,NA,NA,NA,NA
"16","13 Going on 30",1430,"SonR",57231747,2004,NA,NA,NA,NA
"17","13 Hours: The Secret Soldiers of Benghazi",1562,"Par.",52853219,2016,NA,NA,NA,NA
"18","1408",1076,"MGM/W",71985628,2007,NA,NA,NA,NA
"19","15 Minutes",3031,"NL",24403552,2001,NA,NA,NA,NA
"20","16 Blocks",2226,"WB",36895141,2006,NA,NA,NA,NA
"21","17 Again",1249,"WB (NL)",64167069,2009,NA,NA,NA,NA
"22","1941",2542,"Uni.",31755742,1979,NA,NA,NA,NA
"23","1984",4884,"Gold.",8430492,1984,NA,NA,NA,NA
"24","2 Days in the Valley",4481,"MGM",11132210,1996,NA,NA,NA,NA
"25","2 Fast 2 Furious",473,"Uni.",127154901,2003,"4 wins & 13 nominations.","Action, Crime, Thriller","38","5.9"
"26","2 Guns",1013,"Uni.",75612460,2013,NA,NA,NA,NA
"27","2001: A Space Odyssey",1387,"MGM",58588800,1968,NA,NA,NA,NA
"28","2010",2039,"MGM",40400657,1984,NA,NA,NA,NA
"29","2012",292,"Sony",166112167,2009,"5 wins & 21 nominations.","Action, Adventure, Sci-Fi","49","5.8"
"30","2016 Obama's America",2426,"RM",33449086,2012,NA,NA,NA,NA
"31","21",923,"Sony",81159365,2008,NA,NA,NA,NA
"32","21 and Over",2926,"Rela.",25682380,2013,NA,NA,NA,NA
"33","21 Grams",3791,"Focus",16290476,2003,NA,NA,NA,NA
"34","21 Jump Street",402,"Sony",138447667,2012,"11 wins & 20 nominations.","Action, Comedy, Crime","69","7.2"
"35","22 Jump Street",210,"Sony",191719337,2014,"7 wins & 24 nominations.","Action, Comedy, Crime","71","7.0"
"36","25th Hour",4213,"BV",13084595,2002,NA,NA,NA,NA
"37","27 Dresses",986,"Fox",76808654,2008,NA,NA,NA,NA
"38","28 Days",2211,"Sony",37170488,2000,NA,NA,NA,NA
"39","28 Days Later",1836,"FoxS",45064915,2003,NA,NA,NA,NA
"40","28 Weeks Later",2738,"FoxA",28638916,2007,NA,NA,NA,NA
"41","3 Days to Kill",2612,"Rela.",30697999,2014,NA,NA,NA,NA
"42","3 Ninjas",2714,"BV",29000301,1992,NA,NA,NA,NA
"43","3 Ninjas Kick Back",4391,"TriS",11798854,1994,NA,NA,NA,NA
"44","3 Strikes",4698,"MGM",9832166,2000,NA,NA,NA,NA
"45","3:10 to Yuma (2007)",1536,"LGF",53606916,2007,NA,NA,NA,NA
"46","30 Days of Night",2081,"Sony",39568996,2007,NA,NA,NA,NA
"47","30 Minutes or Less",2216,"Sony",37053924,2011,NA,NA,NA,NA
"48","300",176,"WB",210614939,2007,"17 wins & 45 nominations.","Action, Fantasy","52","7.7"
"49","300: Rise of An Empire",631,"WB",106580051,2014,NA,NA,NA,NA
"50","3000 Miles to Graceland",3854,"WB",15749959,2001,NA,NA,NA,NA
"51","40 Days and 40 Nights",2167,"Mira.",37950822,2002,NA,NA,NA,NA
"52","42",747,"WB",95020213,2013,NA,NA,NA,NA
"53","47 Meters Down",1871,"ENTMP",44307192,2017,NA,NA,NA,NA
"54","47 Ronin",2139,"Uni.",38362475,2013,NA,NA,NA,NA
"55","48 HRS.",961,"Par.",78868508,1982,NA,NA,NA,NA
"56","50 First Dates",515,"Sony",120908074,2004,NA,NA,NA,NA
"57","50/50",2342,"Sum.",35014192,2011,NA,NA,NA,NA
"58","54",3747,"Mira.",16757163,1998,NA,NA,NA,NA
"59","8 Mile",551,"Uni.",116750901,2002,NA,NA,NA,NA
"60","8 Seconds",3445,"NL",19623396,1994,NA,NA,NA,NA
"61","88 Minutes",3695,"Sony",17213467,2008,NA,NA,NA,NA
"62","8MM",2243,"Sony",36663315,1999,NA,NA,NA,NA
"63","9",2544,"Focus",31749894,2009,NA,NA,NA,NA
"64","9 to 5",655,"Fox",103290500,1980,NA,NA,NA,NA
"65","A Bad Moms Christmas",1070,"STX",72110659,2017,"1 win & 1 nomination.","Adventure, Comedy","42","5.5"
"66","A Beautiful Mind",277,"Uni.",170742341,2001,"Won 4 Oscars. Another 33 wins & 67 nominations.","Biography, Drama","72","8.2"
"67","A Beautiful Planet",3912,"Imax",15250092,2016,NA,NA,NA,NA
"68","A Bridge Too Far",1643,"UA",50750000,1977,NA,NA,NA,NA
"69","A Bronx Tale",3685,"Sav.",17287898,1993,NA,NA,NA,NA
"70","A Bug's Life",304,"BV",162798565,1998,"Nominated for 1 Oscar. Another 14 wins & 20 nominations.","Animation, Adventure, Comedy","77","7.2"
"71","A Chorus Line",4061,"Col.",14202899,1985,NA,NA,NA,NA
"72","A Christmas Carol (2009)",405,"BV",137855863,2009,NA,NA,NA,NA
"73","A Christmas Story",3343,"MGM",20605209,1983,NA,NA,NA,NA
"74","A Cinderella Story",1612,"WB",51438175,2004,NA,NA,NA,NA
"75","A Civil Action",1446,"BV",56709981,1998,NA,NA,NA,NA
"76","A Clockwork Orange",2858,"WB",26589355,1972,NA,NA,NA,NA
"77","A Cure for Wellness",4946,"Fox",8106986,2017,"4 wins & 5 nominations.","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","47","6.4"
"78","A Dog's Purpose",1240,"Uni.",64508620,2017,NA,NA,NA,NA
"79","A Family Thing",4650,"MGM",10125417,1996,NA,NA,NA,NA
"80","A Far Off Place",4240,"BV",12890752,1993,NA,NA,NA,NA
"81","A Few Good Men",385,"Col.",141340178,1992,"Nominated for 4 Oscars. Another 10 wins & 26 nominations.","Drama, Thriller","62","7.7"
"82","A Fish Called Wanda",1294,"MGM",62493712,1988,NA,NA,NA,NA
"83","A Fistful of Dollars",4016,"UA",14500000,1967,NA,NA,NA,NA
"84","A Good Day to Die Hard",1167,"Fox",67349198,2013,NA,NA,NA,NA
"85","A Goofy Movie",2316,"BV",35348597,1995,NA,NA,NA,NA
"86","A Guy Thing",3880,"MGM",15545431,2003,NA,NA,NA,NA
"87","A Haunted House",2066,"ORF",40041683,2013,NA,NA,NA,NA
"88","A Haunted House 2",3677,"ORF",17329486,2014,NA,NA,NA,NA
"89","A History of Violence",2561,"NL",31504633,2005,NA,NA,NA,NA
"90","A Kid in King Arthur's Court",4164,"BV",13406717,1995,NA,NA,NA,NA
"91","A Kiss Before Dying",3895,"Uni.",15429177,1991,NA,NA,NA,NA
"92","A Knight's Tale",1451,"Sony",56569702,2001,NA,NA,NA,NA
"93","A League of Their Own",619,"Sony",107533928,1992,NA,NA,NA,NA
"94","A Little Princess",4672,"WB",10015449,1995,NA,NA,NA,NA
"95","A Lot Like Love",3211,"BV",21845719,2005,NA,NA,NA,NA
"96","A Low Down Dirty Shame",2693,"BV",29392418,1994,NA,NA,NA,NA
"97","A Man Apart",2849,"NL",26736098,2003,NA,NA,NA,NA
"98","A Midsummer Night's Dream",3821,"FoxS",16071990,1999,NA,NA,NA,NA
"99","A Midsummer Night's Sex Comedy",4795,"WB",9077269,1982,NA,NA,NA,NA
"100","A Mighty Heart",4783,"ParV",9176787,2007,NA,NA,NA,NA
"101","A Mighty Wind",3612,"WB",17781006,2003,NA,NA,NA,NA
"102","A Million Ways to Die in the West",1917,"Uni.",43139300,2014,NA,NA,NA,NA
"103","A Most Wanted Man",3689,"RAtt.",17237855,2014,NA,NA,NA,NA
"104","A Night at the Roxbury",2637,"Par.",30331165,1998,NA,NA,NA,NA
"105","A Nightmare on Elm Street",2946,"NL",25504513,1984,NA,NA,NA,NA
"106","A Nightmare on Elm Street (2010)",1286,"WB (NL)",63075011,2010,NA,NA,NA,NA
"107","A Nightmare on Elm Street 2: Freddy's Revenge",2671,"NL",29999213,1985,NA,NA,NA,NA
"108","A Nightmare on Elm Street 3: Dream Warriors",1854,"NL",44793222,1987,NA,NA,NA,NA
"109","A Nightmare on Elm Street 4: The Dream Master",1693,"NL",49369899,1988,NA,NA,NA,NA
"110","A Nightmare on Elm Street 5: The Dream Child",3193,"NL",22168359,1989,NA,NA,NA,NA
"111","A Passage to India",2813,"Col.",27187653,1984,NA,NA,NA,NA
"112","A Perfect Getaway",3886,"Uni.",15515460,2009,NA,NA,NA,NA
"113","A Perfect Murder",1159,"WB",67638368,1998,NA,NA,NA,NA
"114","A Perfect World",2587,"WB",31130999,1993,NA,NA,NA,NA
"115","A Prairie Home Companion",3367,"PicH",20342852,2006,NA,NA,NA,NA
"116","A Quiet Place",217,"Par.",188024361,2018,"N/A","Drama, Horror, Sci-Fi","82","7.7"
"117","A Rage in Harlem",4587,"Mira.",10438504,1991,NA,NA,NA,NA
"118","A River Runs Through It",1907,"Col.",43440294,1992,NA,NA,NA,NA
"119","A Room with a View",3314,"Cinc",20966644,1986,NA,NA,NA,NA
"120","A Serious Man",4769,"Focus",9228768,2009,NA,NA,NA,NA
"121","A Shot in the Dark",4315,"UA",12368234,1964,NA,NA,NA,NA
"122","A Simple Favor",1553,"LGF",52992259,2018,NA,NA,NA,NA
"123","A Simple Plan",3787,"Par.",16316273,1998,NA,NA,NA,NA
"124","A Simple Wish",4902,"Uni.",8345056,1997,NA,NA,NA,NA
"125","A Single Man",4784,"Wein.",9176000,2009,NA,NA,NA,NA
"126","A Soldier's Story",3213,"Col.",21821347,1984,NA,NA,NA,NA
"127","A Star Is Born (1976)",948,"WB",8e+07,1976,NA,NA,NA,NA
"128","A Star is Born (2018)",446,"WB",130602838,2018,NA,NA,NA,NA
"129","A Stranger Among Us",4326,"BV",12282994,1992,NA,NA,NA,NA
"130","A Thin Line Between Love and Hate",2351,"NL",34767836,1996,NA,NA,NA,NA
"131","A Thousand Acres",4978,"BV",7936780,1997,NA,NA,NA,NA
"132","A Thousand Words",3556,"P/DW",18450127,2012,NA,NA,NA,NA
"133","A Time to Kill",609,"WB",108766007,1996,NA,NA,NA,NA
"134","A Very Brady Sequel",3254,"Par.",21440752,1996,NA,NA,NA,NA
"135","A Very Harold & Kumar 3D Christmas",2336,"WB",35061031,2011,NA,NA,NA,NA
"136","A View to a Kill",1659,"MGM",50327960,1985,NA,NA,NA,NA
"137","A Walk Among the Tombstones",2878,"Uni.",26307600,2014,NA,NA,NA,NA
"138","A Walk in the Clouds",1677,"Fox",50008143,1995,NA,NA,NA,NA
"139","A Walk in the Woods",2689,"BG",29504281,2015,NA,NA,NA,NA
"140","A Walk to Remember",1996,"WB",41281092,2002,NA,NA,NA,NA
"141","A Wrinkle in Time",703,"BV",100478608,2018,NA,NA,NA,NA
"142","A.I. Artificial Intelligence",967,"WB",78616689,2001,NA,NA,NA,NA
"143","Abandon",4537,"Par.",10727683,2002,NA,NA,NA,NA
"144","Abduction",2764,"LGF",28087155,2011,NA,NA,NA,NA
"145","About a Boy",1991,"Uni.",41385278,2002,NA,NA,NA,NA
"146","About Last Night (2014)",1709,"SGem",48637684,2014,NA,NA,NA,NA
"147","About Last Night...",2120,"TriS",38702310,1986,NA,NA,NA,NA
"148","About Schmidt",1228,"NL",65016287,2002,NA,NA,NA,NA
"149","About Time",3904,"Uni.",15322921,2013,NA,NA,NA,NA
"150","Above the Law",3511,"WB",18869631,1988,NA,NA,NA,NA
"151","Above the Rim",3802,"NL",16192320,1994,NA,NA,NA,NA
"152","Abraham Lincoln: Vampire Hunter",2194,"Fox",37519139,2012,NA,NA,NA,NA
"153","Absence of Malice",2024,"Col.",40716963,1981,NA,NA,NA,NA
"154","Absolute Power",1670,"Sony",50068310,1997,NA,NA,NA,NA
"155","Accepted",2262,"Uni.",36323505,2006,NA,NA,NA,NA
"156","Ace Ventura: Pet Detective",1068,"WB",72217396,1994,NA,NA,NA,NA
"157","Ace Ventura: When Nature Calls",612,"WB",108385533,1995,NA,NA,NA,NA
"158","Across the Sea of Time (IMAX)",3829,"SPC",16015639,1995,NA,NA,NA,NA
"159","Across the Universe",3035,"SonR",24343673,2007,NA,NA,NA,NA
"160","Act of Valor",1127,"Rela.",70012847,2012,NA,NA,NA,NA
"161","Action Jackson",3381,"Lori",20256975,1988,NA,NA,NA,NA
"162","Adaptation.",3163,"Sony",22498520,2002,NA,NA,NA,NA
"163","Addams Family Values",1705,"Par.",48919043,1993,NA,NA,NA,NA
"164","Addicted",3666,"LGF",17390770,2014,NA,NA,NA,NA
"165","Addicted to Love",2357,"WB",34673095,1997,NA,NA,NA,NA
"166","Admission",3592,"Focus",18007317,2013,NA,NA,NA,NA
"167","Adrenaline Rush: The Science of Risk (IMAX)",4508,"GSF",10994028,2002,NA,NA,NA,NA
"168","Adrift",2568,"STX",31445012,2018,NA,NA,NA,NA
"169","Adventureland",3824,"Mira.",16044025,2009,NA,NA,NA,NA
"170","Adventures in Babysitting",2375,"BV",34368475,1987,NA,NA,NA,NA
"171","Aeon Flux",2912,"Par.",25874337,2005,NA,NA,NA,NA
"172","Africa's Elephant Kingdom (IMAX)",4155,"Imax",13485455,1998,NA,NA,NA,NA
"173","African Cats",3896,"BV",15428747,2011,NA,NA,NA,NA
"174","After Earth",1330,"Sony",60522097,2013,NA,NA,NA,NA
"175","After Hours",4560,"WB",10609321,1985,NA,NA,NA,NA
"176","After the Sunset",2757,"NL",28331233,2004,NA,NA,NA,NA
"177","Against All Odds",3224,"Col.",21689062,1984,NA,NA,NA,NA
"178","Agent Cody Banks",1737,"MGM",47938330,2003,NA,NA,NA,NA
"179","Agent Cody Banks 2: Destination London",3080,"MGM",23630159,2004,NA,NA,NA,NA
"180","Agnes of God",2930,"Col.",25627836,1985,NA,NA,NA,NA
"181","Air America",2590,"TriS",31053601,1990,NA,NA,NA,NA
"182","Air Bud",3115,"BV",23144499,1997,NA,NA,NA,NA
"183","Air Bud: Golden Receiver",4627,"Mira.",10224116,1998,NA,NA,NA,NA
"184","Air Force One",269,"Sony",172956409,1997,"Nominated for 2 Oscars. Another 7 wins & 10 nominations.","Action, Drama, Thriller","61","6.5"
"185","Airplane II: The Sequel",2815,"Par.",27150534,1982,NA,NA,NA,NA
"186","Airplane!",884,"Par.",83453539,1980,NA,NA,NA,NA
"187","Airport",702,"Uni.",100489151,1970,NA,NA,NA,NA
"188","Akeelah and the Bee",3514,"LGF",18848430,2006,NA,NA,NA,NA
"189","Aladdin",165,"BV",217350219,1992,"Won 2 Oscars. Another 30 wins & 22 nominations.","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","86","8.0"
"190","Alaska",4386,"Sony",11829959,1996,NA,NA,NA,NA
"191","Alex and Emma",4059,"WB",14218698,2003,NA,NA,NA,NA
"192","Alex Cross",2909,"LG/S",25888412,2012,NA,NA,NA,NA
"193","Alexander",2381,"WB",34297191,2004,NA,NA,NA,NA
"194","Alexander and the Terrible, Horrible, No Good, Very Bad Day",1182,"BV",66954149,2014,NA,NA,NA,NA
"195","Alfie",4166,"Par.",13399812,2004,NA,NA,NA,NA
"196","Ali",1398,"Sony",58203105,2001,NA,NA,NA,NA
"197","Alice Doesn't Live Here Anymore",3544,"WB",18600000,1974,NA,NA,NA,NA
"198","Alice in Wonderland (2010)",55,"BV",334191110,2010,NA,NA,NA,NA
"199","Alice Through the Looking Glass",985,"BV",77041381,2016,NA,NA,NA,NA
"200","Alien",928,"Fox",80931801,1979,NA,NA,NA,NA
"201","Alien 3",1483,"Fox",55473545,1992,NA,NA,NA,NA
"202","Alien Adventure (IMAX)",4812,"NWav",8959784,1999,NA,NA,NA,NA
"203","Alien Nation",2966,"Fox",25216243,1988,NA,NA,NA,NA
"204","Alien Resurrection",1742,"Fox",47795658,1997,NA,NA,NA,NA
"205","Alien Vs. Predator",934,"Fox",80282231,2004,NA,NA,NA,NA
"206","Alien: Covenant",1037,"Fox",74262031,2017,"1 win & 12 nominations.","Horror, Sci-Fi, Thriller","65","6.4"
"207","Aliens",858,"Fox",85160248,1986,NA,NA,NA,NA
"208","Aliens in the Attic",2968,"Fox",25200412,2009,NA,NA,NA,NA
"209","Aliens of the Deep (IMAX)",4811,"BV",8968684,2005,NA,NA,NA,NA
"210","Aliens Vs. Predator - Requiem",1979,"Fox",41797066,2007,NA,NA,NA,NA
"211","Alive",2239,"BV",36733909,1993,NA,NA,NA,NA
"212","All About My Mother",4916,"SPC",8272296,1999,NA,NA,NA,NA
"213","All About Steve",2399,"Fox",33862903,2009,NA,NA,NA,NA
"214","All About the Benjamins",2906,"NL",25916319,2002,NA,NA,NA,NA
"215","All Dogs Go to Heaven",2821,"UA",27100027,1989,NA,NA,NA,NA
"216","All Dogs Go to Heaven 2",4856,"MGM",8620678,1996,NA,NA,NA,NA
"217","All Eyez on Me",1846,"LG/S",44922302,2017,"1 nomination.","Biography, Drama, Music","38","5.8"
"218","All I Want for Christmas",3971,"Par.",14812144,1991,NA,NA,NA,NA
"219","All of Me",2255,"Uni.",36403064,1984,NA,NA,NA,NA
"220","All That Jazz",2176,"Fox",37823676,1979,NA,NA,NA,NA
"221","All the Money in the World",2978,"TriS",25113707,2017,"Nominated for 1 Oscar. Another 10 nominations.","Biography, Crime, Drama","72","6.9"
"222","All the President's Men",1107,"WB",70600000,1976,NA,NA,NA,NA
"223","All the Pretty Horses",3883,"Mira.",15540353,2000,NA,NA,NA,NA
"224","All the Right Moves",3690,"Fox",17233166,1983,NA,NA,NA,NA
"225","Allied",2060,"Par.",40098064,2016,NA,NA,NA,NA
"226","Almost Christmas",1962,"Uni.",42158780,2016,NA,NA,NA,NA
"227","Almost Famous",2486,"DW",32534850,2000,NA,NA,NA,NA
"228","Aloha",3297,"Sony",21067116,2015,NA,NA,NA,NA
"229","Along Came a Spider",1041,"Par.",74078174,2001,NA,NA,NA,NA
"230","Along Came Polly",823,"Uni.",88097164,2004,NA,NA,NA,NA
"231","Alpha",2297,"Studio 8",35706919,2018,NA,NA,NA,NA
"232","Alpha and Omega",2979,"LGF",25107267,2010,NA,NA,NA,NA
"233","Alpha Dog",3907,"Uni.",15309602,2007,NA,NA,NA,NA
"234","Altered States",3424,"WB",19853892,1980,NA,NA,NA,NA
"235","Alvin and the Chipmunks",166,"Fox",217326974,2007,"3 wins & 2 nominations.","Animation, Comedy, Family","39","5.2"
"236","Alvin and the Chipmunks: Chipwrecked",432,"Fox",133110742,2011,"2 wins & 1 nomination.","Animation, Adventure, Comedy, Family, Fantasy, Music","24","4.4"
"237","Alvin and the Chipmunks: The Road Chip",846,"Fox",85886987,2015,NA,NA,NA,NA
"238","Alvin and the Chipmunks: The Squeakquel",157,"Fox",219614612,2009,"3 wins.","Animation, Comedy, Family","41","4.5"
"239","Always",1889,"Uni.",43858790,1989,NA,NA,NA,NA
"240","Amadeus",1593,"Orion",51973029,1984,NA,NA,NA,NA
"241","Amazing Grace",3277,"IDP",21250683,2007,NA,NA,NA,NA
"242","Amelia",4055,"FoxS",14245415,2009,NA,NA,NA,NA
"243","Amelie",2443,"Mira.",33225499,2001,NA,NA,NA,NA
"244","America's Sweethearts",760,"SonR",93607673,2001,NA,NA,NA,NA
"245","America (2014)",4025,"LGF",14444502,2014,NA,NA,NA,NA
"246","American Assassin",2270,"LGF",36249674,2017,"1 nomination.","Action, Thriller","45","6.2"
"247","American Beauty",454,"DW",130096601,1999,"Won 5 Oscars. Another 104 wins & 100 nominations.","Drama","86","8.4"
"248","American Gangster",453,"Uni.",130164645,2007,"Nominated for 2 Oscars. Another 12 wins & 35 nominations.","Biography, Crime, Drama","76","7.8"
"249","American Gigolo",3148,"Par.",22743674,1980,NA,NA,NA,NA
"250","American Graffiti",565,"Uni.",1.15e+08,1973,NA,NA,NA,NA
"251","American Hot Wax",4979,"Par.",7932571,1978,NA,NA,NA,NA
"252","American Hustle",348,"Sony",150117807,2013,"Nominated for 10 Oscars. Another 70 wins & 208 nominations.","Crime, Drama","90","7.3"
"253","American Made",1618,"Uni.",51342000,2017,"3 nominations.","Action, Biography, Comedy","65","7.2"
"254","American Me",4211,"Uni.",13086430,1992,NA,NA,NA,NA
"255","American Ninja",4579,"Can.",10499694,1985,NA,NA,NA,NA
"256","American Outlaws",4174,"WB",13342790,2001,NA,NA,NA,NA
"257","American Pie",663,"Uni.",102561004,1999,NA,NA,NA,NA
"258","American Pie 2",364,"Uni.",145103595,2001,"8 wins & 6 nominations.","Comedy","43","6.4"
"259","American Psycho",3935,"Lions",15070285,2000,NA,NA,NA,NA
"260","American Reunion",1440,"Uni.",57011521,2012,NA,NA,NA,NA
"261","American Sniper",48,"WB",350126372,2014,"Won 1 Oscar. Another 23 wins & 42 nominations.","Action, Biography, Drama","72","7.3"
"262","American Ultra",4026,"LGF",14440985,2015,NA,NA,NA,NA
"263","American Wedding",644,"Uni.",104565114,2003,NA,NA,NA,NA
"264","Amistad",1873,"DW",44229441,1997,NA,NA,NA,NA
"265","Amityville II: The Possession",4287,"Orion",12534817,1982,NA,NA,NA,NA
"266","Amos & Andrew",4706,"Col.",9745803,1993,NA,NA,NA,NA
"267","Amy",4886,"A24",8413144,2015,NA,NA,NA,NA
"268","An American Haunting",3789,"Free",16298046,2006,NA,NA,NA,NA
"269","An American Tail",1752,"Uni.",47483002,1986,NA,NA,NA,NA
"270","An American Tail: Fievel Goes West",3194,"Uni.",22166041,1991,NA,NA,NA,NA
"271","An American Werewolf in London",2624,"Uni.",30565292,1981,NA,NA,NA,NA
"272","An American Werewolf in Paris",2859,"BV",26570463,1997,NA,NA,NA,NA
"273","An Education",4281,"SPC",12574914,2009,NA,NA,NA,NA
"274","An Ideal Husband",3549,"Mira.",18542974,1999,NA,NA,NA,NA
"275","An Inconvenient Truth",3050,"ParC",24146161,2006,NA,NA,NA,NA
"276","An Innocent Man",3406,"BV",20047604,1989,NA,NA,NA,NA
"277","An Officer and a Gentleman",455,"Par.",129795554,1982,"Won 2 Oscars. Another 7 wins & 13 nominations.","Drama, Romance","75","7.0"
"278","An Unfinished Life",4861,"Mira.",8586392,2005,NA,NA,NA,NA
"279","Anaconda",1207,"Sony",65885767,1997,NA,NA,NA,NA
"280","Anacondas: The Hunt for the Blood Orchid",2505,"SGem",32238923,2004,NA,NA,NA,NA
"281","Analyze That",2514,"WB",32130627,2002,NA,NA,NA,NA
"282","Analyze This",626,"WB",106885658,1999,NA,NA,NA,NA
"283","Anastasia",1391,"Fox",58406347,1997,NA,NA,NA,NA
"284","Anchorman 2: The Legend Continues",470,"Par.",127352707,2013,"1 win & 23 nominations.","Comedy","61","6.3"
"285","Anchorman: The Legend of Ron Burgundy",855,"DW",85288303,2004,NA,NA,NA,NA
"286","And So It Goes",3922,"CE",15160801,2014,NA,NA,NA,NA
"287","Andre",3739,"Par.",16820893,1994,NA,NA,NA,NA
"288","Angel",3656,"NW",17488564,1984,NA,NA,NA,NA
"289","Angel Eyes",3044,"WB",24174218,2001,NA,NA,NA,NA
"290","Angel Heart",3698,"TriS",17185632,1987,NA,NA,NA,NA
"291","Angela's Ashes",4217,"Par.",13042112,1999,NA,NA,NA,NA
"292","Angels & Demons",431,"Sony",133375846,2009,"1 win & 5 nominations.","Mystery, Thriller","48","6.7"
"293","Angels in the Outfield (1994)",1664,"BV",50236831,1994,NA,NA,NA,NA
"294","Anger Management",415,"SonR",135645823,2003,"2 wins & 5 nominations.","Comedy","52","6.2"
"295","Angie",4751,"BV",9398308,1994,NA,NA,NA,NA
"296","Anna and the King",2097,"Fox",39263420,1999,NA,NA,NA,NA
"297","Anna Karenina",4249,"Focus",12816367,2012,NA,NA,NA,NA
"298","Annabelle",868,"WB (NL)",84273813,2014,NA,NA,NA,NA
"299","Annabelle: Creation",673,"WB (NL)",102092201,2017,"3 nominations.","Horror, Mystery, Thriller","62","6.5"
"300","Annapolis",3703,"BV",17127992,2006,NA,NA,NA,NA
"301","Annie",1436,"Col.",57059003,1982,NA,NA,NA,NA
"302","Annie (2014)",845,"Sony",85911262,2014,NA,NA,NA,NA
"303","Annie Hall",2146,"UA",38251425,1977,NA,NA,NA,NA
"304","Annihilation",2468,"Par.",32732301,2018,NA,NA,NA,NA
"305","Another 48 HRS.",929,"Par.",80818974,1990,NA,NA,NA,NA
"306","Another Stakeout",3389,"BV",20208496,1993,NA,NA,NA,NA
"307","Ant-Man",240,"BV",180202163,2015,"Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.","Action, Adventure, Comedy, Crime, Sci-Fi","64","7.3"
"308","Ant-Man and the Wasp",167,"BV",216608001,2018,"N/A","Action, Adventure, Sci-Fi","70","7.3"
"309","Antitrust",4458,"MGM",11328094,2001,NA,NA,NA,NA
"310","Antwone Fisher",3295,"FoxS",21078145,2002,NA,NA,NA,NA
"311","Antz",793,"DW",90757863,1998,NA,NA,NA,NA
"312","Any Given Sunday",1019,"WB",75530832,1999,NA,NA,NA,NA
"313","Any Which Way You Can",1105,"WB",70687344,1980,NA,NA,NA,NA
"314","Anywhere But Here",3532,"Fox",18670401,1999,NA,NA,NA,NA
"315","Apocalypse Now",883,"MGM",83471511,1979,NA,NA,NA,NA
"316","Apocalypto",1635,"BV",50866635,2006,NA,NA,NA,NA
"317","Apollo 13",265,"Uni.",173837933,1995,"Won 2 Oscars. Another 24 wins & 49 nominations.","Adventure, Drama, History","77","7.6"
"318","Apollo 18",3624,"W/Dim.",17687709,2011,NA,NA,NA,NA
"319","Appaloosa",3388,"WB (NL)",20211394,2008,NA,NA,NA,NA
"320","April Fool's Day",4236,"Par.",12947763,1986,NA,NA,NA,NA
"321","Apt Pupil",4826,"Sony",8863193,1998,NA,NA,NA,NA
"322","Aquamarine",3545,"Fox",18597342,2006,NA,NA,NA,NA
"323","Arachnophobia",1550,"BV",53208180,1990,NA,NA,NA,NA
"324","Arbitrage",4983,"RAtt.",7919574,2012,NA,NA,NA,NA
"325","Are We Done Yet?",1685,"SonR",49662533,2007,NA,NA,NA,NA
"326","Are We There Yet?",895,"SonR",82674398,2005,NA,NA,NA,NA
"327","Argo",414,"WB",136025503,2012,"Won 3 Oscars. Another 94 wins & 152 nominations.","Biography, Drama, Thriller","86","7.7"
"328","Arlington Road",3009,"Sony",24756177,1999,NA,NA,NA,NA
"329","Armageddon",193,"BV",201578182,1998,"Nominated for 4 Oscars. Another 15 wins & 35 nominations.","Action, Adventure, Sci-Fi","42","6.6"
"330","Armed and Dangerous",3837,"Col.",15945534,1986,NA,NA,NA,NA
"331","Armored",3833,"SGem",15988876,2009,NA,NA,NA,NA
"332","Army of Darkness",4434,"Uni.",11502976,1993,NA,NA,NA,NA
"333","Around the World in 80 Days",1970,"UA",4.2e+07,1956,NA,NA,NA,NA
"334","Around the World in 80 Days",3060,"BV",24008137,2004,NA,NA,NA,NA
"335","Arrival",698,"Par.",100546139,2016,NA,NA,NA,NA
"336","Arthur",743,"WB",95461682,1981,NA,NA,NA,NA
