rank,title,studio,lifetime_gross,year
244,Indiana Jones and the Temple of Doom,Par.,179870271,1984
245,Top Gun,Par.,179800601,1986
246,Hitch,Sony,179495555,2005
247,MIB 3,Sony,179020854,2012
248,Pretty Woman,BV,178406268,1990
249,Home (2015),Fox,177397510,2015
250,Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009
251,Tootsie,Col.,1772e5,1982
252,How to Train Your Dragon 2,Fox,177002924,2014
253,Rise of the Planet of the Apes,Fox,176760185,2011
254,Captain America: The First Avenger,Par.,176654505,2011
255,The Karate Kid,Sony,176591618,2010
256,There's Something About Mary,Fox,176484651,1998
257,Ice Age,Fox,176387405,2002
258,The Bourne Supremacy,Uni.,176241941,2004
259,Get Out,Uni.,176040665,2017
260,The LEGO Batman Movie,WB,175750384,2017
261,The Boss Baby,Fox,175003033,2017
262,Crocodile Dundee,Par.,174803506,1986
263,The Greatest Showman,Fox,174340174,2017
264,Venom (2018),Sony,174190076,2018
265,Apollo 13,Uni.,173837933,1995
266,Home Alone 2: Lost in New York,Fox,173585516,1992
267,Elf,NL,173398518,2003
268,National Treasure,BV,173008894,2004
269,Air Force One,Sony,172956409,1997
270,Rain Man,MGM,172825435,1988
271,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,2017
272,Crazy Rich Asians,WB,172373176,2018
273,Tron Legacy,BV,172062763,2010
274,The Matrix,WB,171479930,1999
275,True Grit,Par.,171243005,2010
276,Tarzan,BV,171091819,1999
277,A Beautiful Mind,Uni.,170742341,2001
278,Chicago,Mira.,170687518,2002
279,The Help,BV,169708112,2011
280,Hotel Transylvania 2,Sony,169700110,2015
281,Hidden Figures,Fox,169607287,2016
282,Bridesmaids,Uni.,169106725,2011
283,Quantum of Solace,Sony,168368427,2008
284,Wild Hogs,BV,168273550,2007
285,Kong: Skull Island,WB,168052812,2017
286,Three Men and a Baby,BV,167780960,1987
287,Gone Girl,Fox,167767189,2014
288,Casino Royale,Sony,167445960,2006
289,Hotel Transylvania 3: Summer Vacation,Sony,167210248,2018
290,Meet the Parents,Uni.,166244045,2000
291,Fifty Shades of Grey,Uni.,166167230,2015
292,2012,Sony,166112167,2009
293,Robin Hood: Prince of Thieves,WB,165493908,1991
294,Kung Fu Panda 2,P/DW,165249063,2011
295,Hannibal,MGM,165092268,2001
296,Catch Me If You Can,DW,164615351,2002
297,The Proposal,BV,163958031,2009
298,The Pursuit of Happyness,Sony,163566459,2006
299,Big Daddy,Sony,163479795,1999
300,Clash of the Titans (2010),WB,163214888,2010
301,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,2015
302,Batman Returns,WB,162831698,1992
303,Django Unchained,Wein.,162805434,2012
304,A Bug's Life,BV,162798565,1998
305,Jason Bourne,Uni.,162434410,2016
306,Grown Ups,Sony,162001186,2010
307,The Waterboy,BV,161491646,1998
308,Ice Age: Continental Drift,Fox,161321843,2012
309,Straight Outta Compton,Uni.,161197785,2015
310,Die Another Day,MGM,160942139,2002
311,Shark Tale,DW,160861908,2004
312,The Heat,Fox,159582188,2013
313,Star Trek Beyond,Par.,158848340,2016
314,The Sound of Music,Fox,158671368,1965
315,The Firm,Par.,158348367,1993
316,The Longest Yard,Par.,158119460,2005
317,X-Men,Fox,157299717,2000
318,Scary Movie,Mira.,157019771,2000
319,Fatal Attraction,Par.,156645693,1987
320,Who Framed Roger Rabbit,BV,156452370,1988
321,The Sting,Uni.,156e6,1973
322,What Lies Beneath,DW,155464351,2000
323,X-Men: Apocalypse,Fox,155442489,2016
324,The Mummy,Uni.,155385488,1999
325,Snow White and the Huntsman,Uni.,155332381,2012
326,San Andreas,WB (NL),155190832,2015
327,Fast and Furious,Uni.,155064265,2009
328,Over the Hedge,P/DW,155019340,2006
329,Fantastic Four (2005),Fox,154696080,2005
330,Dr. Seuss' Horton Hears a Who!,Fox,154529439,2008
331,Mad Max: Fury Road,WB,154058340,2015
332,Jerry Maguire,Sony,153952592,1996
333,Trolls,Fox,153707064,2016
334,Beverly Hills Cop II,Par.,153665036,1987
335,Scooby-Doo,WB,153294164,2002
336,Gremlins,WB,153083102,1984
337,Cars 3,BV,152901115,2017
338,Sex and the City,WB (NL),152647258,2008
339,Runaway Bride,Par.,152257509,1999
340,La La Land,LG/S,151101803,2016
341,Divergent,LG/S,150947895,2014
342,Rambo: First Blood Part II,TriS,150415432,1985
343,We're the Millers,WB (NL),150394119,2013
344,Terminator 3: Rise of the Machines,WB,150371112,2003
345,Daddy's Home,Par.,150357137,2015
346,G.I. Joe: The Rise of Cobra,Par.,150201498,2009
347,Neighbors,Uni.,150157400,2014
348,American Hustle,Sony,150117807,2013
349,Puss in Boots,P/DW,149260504,2011
350,Les Miserables (2012),Uni.,148809770,2012
351,Knocked Up,Uni.,148768917,2007
352,As Good as It Gets,Sony,148478011,1997
353,Little Fockers,Uni.,148438600,2010
354,Megamind,P/DW,148415853,2010
355,Hotel Transylvania,Sony,148313048,2012
356,Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377,2006
357,Gran Torino,WB,148095302,2008
358,Lethal Weapon 2,WB,147253986,1989
359,War for the Planet of the Apes,Fox,146880162,2017
360,X-Men: First Class,Fox,146408305,2011
361,Paul Blart: Mall Cop,Sony,146336178,2009
362,True Lies,Fox,146282411,1994
363,Lilo & Stitch,BV,145794338,2002
364,American Pie 2,Uni.,145103595,2001
365,Taken,Fox,145000989,2009
366,101 Dalmatians,Dis.,144880014,1961
367,The Great Gatsby (2013),WB,144840419,2013
368,The Santa Clause,BV,144833357,1994
369,"I, Robot",Fox,144801023,2004
370,Lethal Weapon 3,WB,144731527,1992
371,The Fast and the Furious,Uni.,144533925,2001
372,Doctor Dolittle,Fox,144156605,1998
373,Mamma Mia!,Uni.,144130063,2008
374,Rio,Fox,143619809,2011
375,Kung Fu Panda 3,Fox,143528619,2016
376,Juno,FoxS,143495265,2007
377,Marley and Me,Fox,143153751,2008
378,The Meg,WB,142860491,2018
379,The Smurfs,Sony,142614158,2011
380,XXX,SonR,142109382,2002
381,The Jungle Book,Dis.,141843612,1967
382,The Chronicles of Narnia: Prince Caspian,BV,141621490,2008
383,National Lampoon's Animal House,Uni.,1416e5,1978
384,Pocahontas,BV,141579773,1995
385,A Few Good Men,Col.,141340178,1992
386,Slumdog Millionaire,FoxS,141319928,2008
387,Rush Hour,NL,141186864,1998
388,The Blair Witch Project,Art.,140539099,1999
389,Deep Impact,Par.,140464664,1998
390,Rush Hour 3,NL,140125968,2007
391,Look Who's Talking,TriS,140088813,1989
392,Stuart Little,Sony,140035367,1999
393,Taken 2,Fox,139854287,2012
394,Sister Act,BV,139605150,1992
395,Ocean's 8,WB,139377762,2018
396,The Matrix Revolutions,WB,139313948,2003
397,The Santa Clause 2,BV,139236327,2002
398,The King's Speech,Wein.,138797449,2010
399,Cheaper by the Dozen,Fox,138614544,2003
400,Bad Boys II,Sony,138608444,2003
401,Platoon,Orion,138530565,1986
402,21 Jump Street,Sony,138447667,2012
403,Good Will Hunting,Mira.,138433435,1997
404,Split,Uni.,138291365,2017
405,A Christmas Carol (2009),BV,137855863,2009
406,Dinosaur,BV,137748063,2000
407,The Conjuring,WB (NL),137400141,2013
408,Click,SonR,137355633,2006
409,Ready Player One,WB,137018455,2018
410,The Green Mile,WB,136801374,1999
411,Ransom,BV,136492681,1996
412,Godzilla,Sony,136314294,1998
413,101 Dalmatians (1996),BV,136189294,1996
414,Argo,WB,136025503,2012
415,Anger Management,SonR,135645823,2003
416,Chicken Little,BV,135386665,2005
417,Teenage Mutant Ninja Turtles,NL,135265915,1990
418,Close Encounters of the Third Kind,Col.,135189114,1977
419,Patch Adams,Uni.,135026902,1998
420,The Godfather,Par.,134966411,1972
421,Ride Along,Uni.,134938200,2014
422,The Incredible Hulk,Uni.,134806913,2008
423,Live Free or Die Hard,Fox,134529403,2007
424,Wanted,Uni.,134508551,2008
425,Identity Thief,Uni.,134506920,2013
426,Superman,WB,134218018,1978
427,The Rock,BV,134069511,1996
428,Mission: Impossible III,Par.,134029801,2006
429,Grown Ups 2,Sony,133668525,2013
430,Troy,WB,133378256,2004
431,Angels & Demons,Sony,133375846,2009
432,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,2011
433,Bringing Down the House,BV,132716677,2003
434,The Wolverine,Fox,132556852,2013
435,Wonder,LGF,132422809,2017
436,The Departed,WB,132384315,2006
437,Hulk,Uni.,132177234,2003
438,Silver Linings Playbook,Wein.,132092958,2012
439,Minority Report,Fox,132072926,2002
440,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,2007
441,The Last Airbender,Par.,131772187,2010
442,Rio 2,Fox,131538435,2014
443,Lara Croft: Tomb Raider,Par.,131168070,2001
444,The Silence of the Lambs,Orion,130742922,1991
445,"Honey, I Shrunk the Kids",BV,130724172,1989
446,A Star is Born (2018),WB,130602838,2018
447,The Flintstones,Uni.,130531208,1994
448,Lethal Weapon 4,WB,130444603,1998
449,Get Smart,WB,130319208,2008
450,The Divergent Series: Insurgent,LG/S,130179072,2015
451,The Peanuts Movie,Fox,130178411,2015
452,Transformers: The Last Knight,Par.,130168683,2017
453,American Gangster,Uni.,130164645,2007
454,American Beauty,DW,130096601,1999
455,An Officer and a Gentleman,Par.,129795554,1982
456,The Ring,DW,129128133,2002
457,The Nutty Professor (1996),Uni.,128814019,1996
458,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2006
459,Ghostbusters (2016),Sony,128350574,2016
460,Kingsman: The Secret Service,Fox,128261724,2015
461,Robots,Fox,128200012,2005
462,Coming to America,Par.,128152301,1988
463,"Crouching Tiger, Hidden Dragon",SPC,128078872,2000
464,Shutter Island,Par.,128012934,2010
465,Into the Woods,BV,128002372,2014
466,Rocky IV,UA,127873716,1985
467,Enchanted,BV,127807262,2007
468,The Curious Case of Benjamin Button,Par.,127509326,2008
469,Central Intelligence,WB (NL),127440871,2016
470,Anchorman 2: The Legend Continues,Par.,127352707,2013
471,Sweet Home Alabama,BV,127223418,2002
472,Dumb and Dumber,NL,127175374,1994
473,2 Fast 2 Furious,Uni.,127154901,2003
474,My Best Friend's Wedding,Sony,127120029,1997
475,Super 8,Par.,127004179,2011
476,The World Is Not Enough,MGM,126943684,1999
477,Smokey and the Bandit,Uni.,126737428,1977
478,Sleepless in Seattle,TriS,126680884,1993
479,Lucy,Uni.,126663600,2014
480,The Legend of Tarzan,WB,126643061,2016
481,Bee Movie,P/DW,126631277,2007
482,Prometheus,Fox,126477084,2012
483,Safe House,Uni.,126373434,2012
484,Mr. Deeds,Sony,126293452,2002
485,The Truman Show,Par.,125618201,1998
486,Erin Brockovich,Uni.,125595205,2000
487,Ocean's Twelve,WB,125544280,2004
488,Terminator Salvation,WB,125322469,2009
489,Charlie's Angels,Sony,125305545,2000
490,Tomorrow Never Dies,MGM,125304276,1997
491,Lone Survivor,Uni.,125095601,2013
492,Sully,WB,125070033,2016
493,Rocky III,UA,125049125,1982
494,The Vow,SGem,125014030,2012
495,Life of Pi,Fox,124987023,2012
496,The Fault in our Stars,Fox,124872350,2014
497,Cloudy with a Chance of Meatballs,Sony,124870275,2009
498,The Devil Wears Prada,Fox,124740460,2006
499,Something's Gotta Give,Sony,124728738,2003
500,Traffic,USA,124115725,2000
501,The Birdcage,MGM,124060553,1996
502,City Slickers,Col.,124033791,1991
503,"Good Morning, Vietnam",BV,123922370,1987
504,Rango,Par.,123477607,2011
505,The Nutty Professor II: The Klumps,Uni.,123309890,2000
506,The Good Dinosaur,BV,123087120,2015
507,G.I. Joe: Retaliation,Par.,122523060,2013
508,Clear and Present Danger,Par.,122187717,1994
509,The Hunt for Red October,Par.,122012643,1990
510,The Bodyguard,WB,122006740,1992
511,Wayne's World,Par.,121697323,1992
512,The Bourne Identity,Uni.,121661683,2002
513,Superbad,Sony,121463226,2007
514,Speed,Fox,121248145,1994
515,50 First Dates,Sony,120908074,2004
516,Mamma Mia! Here We Go Again,Uni.,120634935,2018
517,Mulan,BV,120620254,1998
518,Inglourious Basterds,Wein.,120540719,2009
519,Seabiscuit,Uni.,120277854,2003
520,Van Helsing,Uni.,120177084,2004
521,Four Christmases,WB (NL),120146040,2008
522,I Now Pronounce You Chuck and Larry,Uni.,120059556,2007
523,The Mask,NL,119938730,1994
524,Cloudy with a Chance of Meatballs 2,Sony,119793567,2013
525,Hook,TriS,119654823,1991
526,Blazing Saddles,WB,119601481,1974
527,Walk the Line,Fox,119519402,2005
528,G-Force,BV,119436770,2009
529,Total Recall,Sony,119412921,1990
530,On Golden Pond,Uni.,119285432,1981
531,The Other Guys,Sony,119219978,2010
532,Fahrenheit 9/11,Lions,119194771,2004
533,The Sum of All Fears,Par.,118907036,2002
534,Hairspray (2007),NL,118871849,2007
535,The Break-Up,Uni.,118703275,2006
536,Lemony Snicket's A Series of Unfortunate Events,Par.,118634549,2004
537,Blades of Glory,P/DW,118594548,2007
538,Back to the Future Part II,Uni.,118450002,1989
539,Salt,Sony,118311368,2010
540,Basic Instinct,TriS,117727224,1992
541,Now You See Me,LG/S,117723989,2013
542,Big Momma's House,Fox,117559438,2000
543,Die Hard 2: Die Harder,Fox,117540947,1990
544,Horrible Bosses,WB (NL),117538559,2011
545,Rocky,UA,117235147,1976
546,Jackass 3-D,Par.,117229692,2010
547,Ocean's Thirteen,WB,117154724,2007
548,S.W.A.T.,Sony,116934650,2003
549,The Wolf of Wall Street,Par.,116900694,2013
550,The Nun,WB (NL),116826491,2018
551,8 Mile,Uni.,116750901,2002
552,Double Jeopardy,Par.,116741558,1999
553,Lee Daniels' The Butler,Wein.,116632095,2013
554,Green Lantern,WB,116601172,2011
555,Notting Hill,Uni.,116089678,1999
556,The Towering Inferno,Fox,116e6,1974
557,You've Got Mail,WB,115821495,1998
558,Ghost Rider,Sony,115802596,2007
559,Remember the Titans,BV,115654751,2000
560,District 9,TriS,115646235,2009
561,Unbroken,Uni.,115637895,2014
562,Peter Rabbit,Sony,115253424,2018
563,Girls Trip,Uni.,115171585,2017
564,The Karate Kid Part II,Col.,115103979,1986
565,American Graffiti,Uni.,115e6,1973
566,Big,Fox,114968774,1988
567,Fifty Shades Darker,Uni.,114581250,2017
568,DodgeBall: A True Underdog Story,Fox,114326736,2004
569,The Village,BV,114197520,2004
570,Bolt,BV,114053579,2008
571,Wild Wild West,WB,113804681,1999
572,Night at the Museum: Secret of the Tomb,Fox,113746621,2014
573,Magic Mike,WB,113721571,2012
574,The Addams Family,Par.,113502426,1991
575,The Patriot,Sony,113330342,2000
576,Bad Moms,STX,113257297,2016
577,The Bourne Legacy,Uni.,113203870,2012
578,The Pacifier,BV,113086868,2005
579,Dr. Dolittle 2,Fox,112952899,2001
580,The Rocky Horror Picture Show,Fox,112892319,1975
581,It's Complicated,Uni.,112735375,2009
582,Spy Kids,Mira.,112719001,2001
583,Ghostbusters II,Col.,112494738,1989
584,Face/Off,Par.,112276146,1997
585,The Hangover Part III,WB,112200072,2013
586,Twins,Uni.,111938388,1988
587,Spy Kids 3D: Game Over,Dim.,111761982,2003
588,Doctor Zhivago,MGM,111721910,1965
589,Enemy of the State,BV,111549836,1998
590,The Little Mermaid,BV,111543479,1989
591,Mr. Peabody & Sherman,Fox,111506430,2014
592,Porky's,Fox,111289673,1982
593,The Last Samurai,WB,111127263,2003
594,Spy,Fox,110825712,2015
595,Tropic Thunder,P/DW,110515313,2008
596,Valentine's Day,WB (NL),110485654,2010
597,The Grudge,Sony,110359362,2004
598,Fun with Dick and Jane,Sony,110332737,2005
599,Freaky Friday,BV,110230332,2003
600,Trainwreck,Uni.,110212700,2015
601,Bedtime Stories,BV,110101975,2008
602,Scary Movie 3,Dim.,110003217,2003
603,Creed,WB (NL),109767581,2015
604,Star Trek IV: The Voyage Home,Par.,109713132,1986
605,The 40-Year-Old Virgin,Uni.,109449237,2005
606,Crocodile Dundee II,Par.,109306210,1988
607,Couples Retreat,Uni.,109204945,2009
608,One Flew Over the Cuckoo's Nest,UA,108981275,1975
609,A Time to Kill,WB,108766007,1996
610,Black Hawk Down,SonR,108638745,2001
611,Terms of Endearment,Par.,108423489,1983
612,Ace Ventura: When Nature Calls,WB,108385533,1995
613,The Princess Diaries,BV,108248956,2001
614,Superman II,WB,108185706,1981
615,Hop,Uni.,108085305,2011
616,Pulp Fiction,Mira.,107928762,1994
617,Paranormal Activity,Par.,107918810,2009
618,Baby Driver,TriS,107825862,2017
619,A League of Their Own,Sony,107533928,1992
620,Epic,Fox,107518682,2013
