"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","omdb.Awards","omdb.BoxOffice","omdb.Metascore","omdb.imdbRating"
"40","American Fable","2017-02-17","2017-02-16","http://www.nytimes.com/2017/02/16/movies/american-fable-review.html","",0,"3 wins & 2 nominations.","N/A","55","6.3"
"41","American Made","2017-09-29","2017-09-28","http://www.nytimes.com/2017/09/28/movies/american-made-review-tom-cruise.html","R",0,"3 nominations.","$51,071,805","65","7.2"
"42","An Inconvenient Sequel: Truth to Power","2017-08-04","2017-07-27","http://www.nytimes.com/2017/07/27/movies/an-inconvenient-sequel-review-al-gore.html","PG",1,"Nominated for 1 BAFTA Film Award. Another 3 wins & 12 nominations.","&pound;3,456,144","68","6.3"
"43","Angkor Awakens: A Portrait of Cambodia","2017-05-05","2017-05-03","http://www.nytimes.com/2017/05/03/movies/angkor-awakens-review.html","",1,"N/A","N/A","81","8.2"
"44","Annabelle: Creation","2017-08-11","2017-08-10","http://www.nytimes.com/2017/08/10/movies/annabelle-creation-review.html","R",0,"3 nominations.","$101,788,793","62","6.5"
"45","Another Evil","2017-05-05","2017-05-04","http://www.nytimes.com/2017/05/04/movies/another-evil-review.html","",0,"N/A","N/A","53","5.5"
"46","Apprentice","2017-03-03","2017-03-02","http://www.nytimes.com/2017/03/02/movies/apprentice-review.html","",1,"6 wins & 5 nominations.","$2,578","77","6.5"
"47","Armed Response","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/armed-response-review.html","R",0,"N/A","N/A","13","3.8"
"48","Arsenal","2017-01-06","2017-01-05","http://www.nytimes.com/2017/01/05/movies/arsenal-review-nicolas-cage.html","R",0,"N/A","N/A","25","4.0"
"49","As You Are","2017-02-24","2017-02-23","http://www.nytimes.com/2017/02/23/movies/as-you-are-review.html","",0,"2 wins & 5 nominations.","N/A","67","6.5"
"50","Ascent","2017-06-07","2017-06-06","http://www.nytimes.com/2017/06/06/movies/ascent-review.html","",0,"1 nomination.","N/A","75","7.3"
"51","Atomic Blonde","2017-07-28","2017-07-27","http://www.nytimes.com/2017/07/27/movies/atomic-blonde-review-charlize-theron.html","R",0,"6 wins & 15 nominations.","$51,536,935","63","6.7"
"52","Atomica","2017-03-17","2017-03-16","http://www.nytimes.com/2017/03/16/movies/review-atomica-syfy-tom-sizemore-dominic-monaghan.html","",0,"N/A","N/A","33","4.1"
"53","Austin Found","2017-07-07","2017-07-05","http://www.nytimes.com/2017/07/05/movies/review-in-austin-found-child-abduction-is-played-for-laughs.html","",0,"N/A","N/A","46","5.2"
"54","Baby Driver","2017-06-28","2017-06-27","http://www.nytimes.com/2017/06/27/movies/baby-driver-review-edgar-wright-ansel-elgort.html","R",1,"Nominated for 3 Oscars. Another 31 wins & 44 nominations.","$107,770,367","86","7.6"
"55","Bad Kids of Crestview Academy","2017-01-13","2017-01-12","http://www.nytimes.com/2017/01/12/movies/bad-kids-of-crestview-academy-review.html","R",0,"N/A","N/A","22","6.4"
"56","Band Aid","2017-06-09","2017-06-01","http://www.nytimes.com/2017/06/01/movies/band-aid-review.html","",0,"1 win & 2 nominations.","&pound;245,140","67","6.6"
"57","Battle of the Sexes","2017-09-22","2017-09-21","http://www.nytimes.com/2017/09/21/movies/review-battle-of-the-sexes-billie-jean-king-bobby-riggs.html","PG-13",0,"Nominated for 2 Golden Globes. Another 3 wins & 16 nominations.","$12,552,907","73","6.7"
"58","Baywatch","2017-05-25","2017-05-24","http://www.nytimes.com/2017/05/24/movies/baywatch-review-zac-efron-dwayne-johnson.html","R",0,"3 wins & 10 nominations.","$58,009,442","37","5.6"
"59","Beach Rats","2017-08-25","2017-08-24","http://www.nytimes.com/2017/08/24/movies/beach-rats-review.html","R",1,"7 wins & 14 nominations.","$457,847","78","6.4"
"60","Beatriz at Dinner","2017-06-09","2017-06-08","http://www.nytimes.com/2017/06/08/movies/beatriz-at-dinner-review-salma-hayek.html","R",0,"2 wins & 8 nominations.","$7,115,001","68","6.1"
"61","Beauty and the Beast","2017-03-17","2017-03-03","http://www.nytimes.com/2017/03/03/movies/beauty-and-the-beast-review.html","PG",1,"Won 2 Oscars. Another 24 wins & 25 nominations.","$47,611,331","95","8.0"
"62","Before I Fall","2017-03-03","2017-03-01","http://www.nytimes.com/2017/03/01/movies/before-i-fall-review-zoey-deutch.html","PG-13",0,"2 wins & 2 nominations.","$12,230,741","58","6.4"
"63","Ben-Gurion, Epilogue","2017-03-03","2017-03-02","http://www.nytimes.com/2017/03/02/movies/the-settlers-and-ben-gurion-epilogue-reviews.html","",0,"2 nominations.","N/A","74","7.6"
"64","Bending the Arc","2017-10-06","2017-10-05","http://www.nytimes.com/2017/10/05/movies/bending-the-arc-review-paul-farmer-partners-in-health.html","",0,"1 win & 1 nomination.","N/A","80","8.0"
"65","Berlin Syndrome","2017-05-26","2017-05-25","http://www.nytimes.com/2017/05/25/movies/berlin-syndrome-review.html","R",0,"13 nominations.","$23,300","70","6.3"
"66","Betting on Zero","2017-03-17","2017-03-16","http://www.nytimes.com/2017/03/16/movies/betting-on-zero-review.html","",0,"1 win & 3 nominations.","N/A","72","7.2"
"67","Beyond Skyline","2017-12-15","2017-12-14","http://www.nytimes.com/2017/12/14/movies/beyond-skyline-review.html","R",0,"N/A","N/A","46","5.3"
"68","Bill Frisell: A Portrait","2017-12-06","2017-12-05","http://www.nytimes.com/2017/12/05/movies/bill-frisell-a-portrait-review.html","",1,"N/A","N/A","71","7.2"
"69","Birdboy: The Forgotten Children","2017-12-15","2017-12-14","http://www.nytimes.com/2017/12/14/movies/birdboy-the-forgotten-children-review.html","",0,"7 wins & 5 nominations.","N/A","76","7.5"
"70","Birth of the Dragon","2017-08-25","2017-08-25","http://www.nytimes.com/2017/08/25/movies/birth-of-the-dragon-review-bruce-lee.html","PG-13",0,"1 win.","$6,895,695","35","5.4"
"71","Birthright: A War Story","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/birthright-a-war-story.html","",0,"N/A","$7,257","70","6.9"
"72","Bitch","2017-11-10","2017-11-09","http://www.nytimes.com/2017/11/09/movies/bitch-review.html","",1,"1 win & 1 nomination.","N/A","55","5.0"
"73","Bitter Harvest","2017-02-24","2017-02-23","http://www.nytimes.com/2017/02/23/movies/bitter-harvest-review.html","R",0,"3 nominations.","$557,004","34","6.1"
"74","Blade of the Immortal","2017-11-03","2017-11-02","http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html","R",0,"10 nominations.","N/A","72","6.8"
"75","Blade Runner 2049","2017-10-06","2017-10-02","http://www.nytimes.com/2017/10/02/movies/blade-runner-2049-review-ryan-gosling-harrison-ford.html","R",0,"Won 2 Oscars. Another 81 wins & 131 nominations.","$91,800,042","81","8.1"
"76","Blind","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/blind-review-alec-baldwin-demi-moore.html","R",0,"17 wins & 11 nominations.","N/A","83","6.9"
"77","Blood Stripe","2017-09-29","2017-09-28","http://www.nytimes.com/2017/09/28/movies/blood-stripe-review.html","",0,"5 wins.","N/A","70","8.2"
"78","Born in China","2017-04-21","2017-04-19","http://www.nytimes.com/2017/04/19/movies/born-in-china-review.html","G",0,"N/A","$13,861,159","57","7.2"
"79","Brad's Status","2017-09-15","2017-09-14","http://www.nytimes.com/2017/09/14/movies/brads-status-review-ben-stiller.html","R",0,"1 win & 2 nominations.","$2,029,594","71","6.5"
"80","Brave New Jersey","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/brave-new-jersey-review.html","",0,"4 wins.","$14,105","45","5.3"
"81","Brawl in Cell Block 99","2017-10-06","2017-10-05","http://www.nytimes.com/2017/10/05/movies/brawl-in-cell-block-99-review-vince-vaughn.html","Not Rated",1,"4 nominations.","N/A","79","7.1"
"82","Breaking Point: The War for Democracy in Ukraine","2017-02-14","2018-03-01","http://www.nytimes.com/2018/03/01/movies/breaking-point-review-ukraine.html","",0,"1 nomination.","N/A","83","8.4"
"83","Breathe","2017-10-13","2017-10-12","http://www.nytimes.com/2017/10/12/movies/breathe-review-andrew-garfield-claire-foy-andy-serkis.html","PG-13",0,"1 win & 3 nominations.","$475,685","51","7.1"
"84","Bright","2017-12-22","2017-12-21","http://www.nytimes.com/2017/12/21/movies/bright-review-will-smith-joel-edgerton.html","",0,"1 win & 3 nominations.","N/A","29","6.4"
"85","Bronx Gothic","2017-07-12","2017-07-11","http://www.nytimes.com/2017/07/11/movies/bronx-gothic-review-okwui-okpokwasili.html","",0,"N/A","N/A","66","6.7"
"86","Buena Vista Social Club: Adios","2017-05-26","2017-05-24","http://www.nytimes.com/2017/05/24/movies/buena-vista-social-club-adios-review.html","PG",1,"N/A","&pound;118,253","67","6.6"
"87","Bugs","2017-09-27","2017-09-26","http://www.nytimes.com/2017/09/26/movies/bugs-review.html","",1,"N/A","N/A","N/A","3.8"
"88","Burden","2017-05-05","2017-05-04","http://www.nytimes.com/2017/05/04/movies/burden-review-chris-burden.html","",0,"1 win & 1 nomination.","$18,001","63","6.4"
"89","Bushwick","2017-08-25","2017-08-24","http://www.nytimes.com/2017/08/24/movies/bushwick-review-brittany-snow-dave-bautista.html","",0,"2 nominations.","N/A","44","5.2"
"90","Buster's Mal Heart","2017-04-28","2017-04-27","http://www.nytimes.com/2017/04/27/movies/busters-mal-heart-review-rami-malek.html","",0,"3 nominations.","$72,622","63","6.0"
"91","California Typewriter","2017-08-18","2017-08-17","http://www.nytimes.com/2017/08/17/movies/california-typewriter-review.html","",0,"3 wins & 5 nominations.","N/A","80","7.2"
"92","Call Me by Your Name","2017-11-24","2017-11-22","http://www.nytimes.com/2017/11/22/movies/call-me-by-your-name-review-armie-hammer.html","R",1,"Won 1 Oscar. Another 82 wins & 196 nominations.","N/A","93","8.0"
"93","Camera Obscura","2017-06-09","2017-06-08","http://www.nytimes.com/2017/06/08/movies/camera-obscura-review.html","",0,"N/A","N/A","35","4.7"
"94","Can't Stop, Won't Stop: A Bad Boy Story","2017-06-23","2017-06-22","http://www.nytimes.com/2017/06/22/movies/cant-stop-wont-stop-review-sean-combs-bad-boy.html","",0,"1 win.","N/A","N/A","4.5"
"95","Canners","2017-03-01","2017-03-09","http://www.nytimes.com/2017/03/09/movies/canners-review.html","",0,"N/A","N/A","72","N/A"
"96","Captain Underpants: The First Epic Movie","2017-06-02","2017-06-01","http://www.nytimes.com/2017/06/01/movies/captain-underpants-review.html","PG",0,"1 win & 10 nominations.","$73,895,861","69","6.2"
"97","Cars 3","2017-06-16","2017-06-14","http://www.nytimes.com/2017/06/14/movies/cars-3-review.html","G",1,"20 nominations.","$152,603,003","59","6.8"
"98","Casting JonBenet","2017-04-28","2017-04-27","http://www.nytimes.com/2017/04/27/movies/casting-jonbenet-review-jonbenet-ramsey.html","",0,"2 wins & 7 nominations.","N/A","74","6.1"
"99","Chasing Coral","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/chasing-coral-review.html","",1,"6 wins & 15 nominations.","N/A","86","8.1"
"100","Chasing Trane: The John Coltrane Documentary","2017-04-14","2017-04-13","http://www.nytimes.com/2017/04/13/movies/chasing-trane-the-john-coltrane-documentary-review.html","",0,"1 nomination.","N/A","69","7.3"
"101","Chavela","2017-10-04","2017-10-03","http://www.nytimes.com/2017/10/03/movies/chavela-review.html","Not Rated",0,"4 wins & 4 nominations.","&pound;144,764","68","7.8"
"102","CHIPS","2017-03-24","2017-03-23","http://www.nytimes.com/2017/03/23/movies/chips-review.html","R",0,"1 win & 1 nomination.","$18,591,819","28","6.0"
"103","Chronically Metropolitan","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/chronically-metropolitan-review.html","",0,"N/A","N/A","28","5.2"
"104","Churchill","2017-06-02","2017-05-31","http://www.nytimes.com/2017/05/31/movies/churchill-review.html","PG",0,"N/A","$1,279,681","44","6.3"
"105","Citizen Jane: Battle for the City","2017-04-21","2017-04-19","http://www.nytimes.com/2017/04/19/movies/citizen-jane-battle-for-the-city-review.html","",0,"3 nominations.","N/A","70","7.1"
"106","City of Ghosts","2017-07-07","2017-07-06","http://www.nytimes.com/2017/07/06/movies/city-of-ghosts-review.html","R",0,"N/A","$275,998","57","6.0"
"107","Claire in Motion","2017-01-13","2017-01-12","http://www.nytimes.com/2017/01/12/movies/claire-in-motion-review.html","",0,"4 nominations.","N/A","56","4.3"
"108","Coco","2017-11-22","2017-11-21","http://www.nytimes.com/2017/11/21/movies/coco-review-pixar-disney.html","PG",0,"Won 2 Oscars. Another 86 wins & 28 nominations.","&pound;208,487,719","81","8.4"
"109","Columbus","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/columbus-review.html","",1,"7 wins & 27 nominations.","$892,778","89","7.3"
"110","Company Town","2017-09-08","2017-09-07","http://www.nytimes.com/2017/09/07/movies/company-town-review.html","",0,"N/A","N/A","N/A","6.7"
"111","Cook Off!","2017-11-17","2017-11-16","http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html","R",0,"1 win.","N/A","N/A","4.0"
"112","Crash Pad","2017-09-26","2017-10-26","http://www.nytimes.com/2017/10/26/movies/crash-pad-review.html","R",0,"N/A","N/A","46","5.6"
"113","Crooked House","2017-11-21","2017-12-21","http://www.nytimes.com/2017/12/21/movies/crooked-house-review-glenn-close.html","PG-13",0,"N/A","N/A","59","6.3"
"114","Crown Heights","2017-08-18","2017-08-17","http://www.nytimes.com/2017/08/17/movies/crown-heights-review-lakeith-stanfield.html","R",0,"6 wins & 8 nominations.","$236,439","64","6.4"
"115","Cuba and the Cameraman","2017-11-24","2017-11-23","http://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html","",0,"N/A","N/A","82","8.2"
"116","Daddy's Home 2","2017-11-10","2017-11-09","http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html","PG-13",0,"1 win & 3 nominations.","$102,934,995","30","6.0"
"117","Darkest Hour","2017-11-22","2017-11-21","http://www.nytimes.com/2017/11/21/movies/darkest-hour-review-gary-oldman.html","PG-13",0,"Won 2 Oscars. Another 40 wins & 63 nominations.","$28,086,332","75","7.4"
"118","Darkness Rising","2017-06-30","2017-06-29","http://www.nytimes.com/2017/06/29/movies/darkness-rising-review.html","",0,"N/A","N/A","N/A","3.3"
"119","Dealt","2017-10-20","2017-10-19","http://www.nytimes.com/2017/10/19/movies/dealt-review-richard-turner.html","",0,"4 wins & 2 nominations.","$30,414","66","7.7"
"120","Dean","2017-06-02","2017-05-31","http://www.nytimes.com/2017/05/31/movies/dean-review-demetri-martin.html","PG-13",0,"1 win & 1 nomination.","$248,849","58","6.3"
"121","Desolation","2017-12-15","2017-12-14","http://www.nytimes.com/2017/12/14/movies/desolation-review.html","",0,"N/A","N/A","N/A","4.6"
"122","Despicable Me 3","2017-06-30","2017-06-29","http://www.nytimes.com/2017/06/29/movies/review-despicable-me-3-suggests-a-franchise-running-on-fumes.html","PG",0,"25 nominations.","$264,194,540","49","6.3"
"123","Detroit","2017-08-04","2017-07-26","http://www.nytimes.com/2017/07/26/movies/detroit-review.html","R",0,"5 wins & 16 nominations.","$16,788,494","77","7.4"
"124","Diary of a Wimpy Kid: The Long Haul","2017-05-19","2017-05-17","http://www.nytimes.com/2017/05/17/movies/review-diary-of-a-wimpy-kid-the-long-haul.html","PG",0,"N/A","$20,737,440","39","4.4"
"125","Dig Two Graves","2017-03-24","2017-03-23","http://www.nytimes.com/2017/03/23/movies/dig-two-graves-review.html","",0,"6 wins & 4 nominations.","N/A","67","5.7"
"126","Dina","2017-10-06","2017-10-05","http://www.nytimes.com/2017/10/05/movies/dina-review.html","",0,"6 wins & 3 nominations.","$90,873","75","6.7"
"127","Do It Like An Hombre","2017-09-01","2017-08-31","http://www.nytimes.com/2017/08/31/movies/hazlo-como-hombre-review.html","R",0,"1 win & 1 nomination.","N/A","N/A","5.6"
"128","Downsizing","2017-12-22","2017-12-21","http://www.nytimes.com/2017/12/21/movies/downsizing-review-matt-damon-kristen-wiig.html","R",0,"Nominated for 1 Golden Globe. Another 1 win & 14 nominations.","&pound;22,932,429","63","5.7"
"129","Drone","2017-05-26","2017-05-24","http://www.nytimes.com/2017/05/24/movies/drone-review.html","",0,"N/A","N/A","49","5.3"
"130","Dunkirk","2017-07-21","2017-07-20","http://www.nytimes.com/2017/07/20/movies/dunkirk-review-christopher-nolan.html","PG-13",1,"Won 3 Oscars. Another 51 wins & 197 nominations.","$188,042,171","94","8.0"
"131","Dying Laughing","2017-02-24","2017-02-23","http://www.nytimes.com/2017/02/23/movies/review-dying-laughing-about-bombing-onstage-or-conversely-killing.html","",0,"N/A","N/A","73","6.7"
"132","Eloise","2017-02-03","2017-02-02","http://www.nytimes.com/2017/02/02/movies/eloise-review-eliza-dushku.html","R",0,"N/A","N/A","15","4.5"
"133","Endless Poetry","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/review-endless-poetry-alejandro-jodorowskys-surreal-self-portrait.html","Not Rated",0,"1 win & 3 nominations.","&pound;28,000","78","7.7"
"134","England Is Mine","2017-08-25","2017-08-24","http://www.nytimes.com/2017/08/24/movies/england-is-mine-review.html","",0,"4 nominations.","N/A","45","5.9"
"135","Eric Clapton: Life in 12 Bars","2017-11-24","2017-11-23","http://www.nytimes.com/2017/11/23/movies/eric-clapton-a-life-in-12-bars-review.html","",0,"1 win & 4 nominations.","N/A","62","7.0"
"136","Everybody Loves Somebody","2017-02-17","2017-02-16","http://www.nytimes.com/2017/02/16/movies/everybody-loves-somebody-review.html","PG-13",0,"2 nominations.","$1,906,294","74","6.5"
"137","Everything, Everything","2017-05-19","2017-05-18","http://www.nytimes.com/2017/05/18/movies/everything-everything-review.html","PG-13",0,"1 win & 5 nominations.","$34,091,886","52","6.4"
"138","Father Figures","2017-12-22","2017-12-21","http://www.nytimes.com/2017/12/21/movies/father-figures-review-ed-helms-owen-wilson.html","R",0,"N/A","$16,772,934","22","5.4"
"139","Ferdinand","2017-12-15","2017-12-14","http://www.nytimes.com/2017/12/14/movies/ferdinand-review.html","PG",0,"Nominated for 1 Oscar. Another 2 wins & 15 nominations.","$70,466,891","58","6.7"
"140","Fifty Shades Darker","2017-02-10","2017-02-09","http://www.nytimes.com/2017/02/09/movies/review-fifty-shades-darker-dakota-johnson.html","R",0,"3 wins & 12 nominations.","$114,376,885","33","4.6"
"141","Finding Oscar","2017-04-14","2017-04-13","http://www.nytimes.com/2017/04/13/movies/finding-oscar-review.html","",0,"6 wins.","$21,246","72","7.9"
"142","First Kill","2017-07-21","2017-07-20","http://www.nytimes.com/2017/07/20/movies/first-kill-review.html","R",0,"N/A","N/A","39","4.9"
"143","Fist Fight","2017-02-17","2017-02-16","http://www.nytimes.com/2017/02/16/movies/fist-fight-review-ice-cube-charlie-day.html","R",0,"1 win.","$32,153,522","37","5.6"
"144","Flatliners","2017-09-29","2017-09-29","http://www.nytimes.com/2017/09/29/movies/flatliners-review.html","PG-13",0,"Nominated for 1 Oscar. Another 2 nominations.","N/A","55","6.6"
"145","Folk Hero & Funny Guy","2017-05-12","2017-05-11","http://www.nytimes.com/2017/05/11/movies/folk-hero-and-funny-guy-review.html","",0,"2 wins & 1 nomination.","N/A","64","5.6"
"146","Food Evolution","2017-06-23","2017-06-22","http://www.nytimes.com/2017/06/22/movies/food-evolution-review.html","",0,"1 nomination.","N/A","72","6.9"
"147","Footnotes","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/footnotes-review.html","",0,"1 nomination.","N/A","60","6.0"
"148","For Ahkeem","2017-10-13","2017-10-12","http://www.nytimes.com/2017/10/12/movies/review-in-for-ahkeem-a-last-option-for-a-troubled-teenager.html","",0,"2 wins & 2 nominations.","N/A","N/A","8.1"
"149","Frank Serpico","2017-11-01","2017-10-31","http://www.nytimes.com/2017/10/31/movies/frank-serpico-review.html","",0,"N/A","N/A","68","6.7"
"150","Free Fire","2017-04-21","2017-04-20","http://www.nytimes.com/2017/04/20/movies/free-fire-review.html","R",1,"1 win & 6 nominations.","$1,798,483","63","6.4"
"151","From Nowhere","2017-02-17","2017-02-16","http://www.nytimes.com/2017/02/16/movies/from-nowhere-review.html","",1,"4 wins & 3 nominations.","$5,408","75","7.2"
"152","From the Land of the Moon","2017-07-28","2017-07-27","http://www.nytimes.com/2017/07/27/movies/from-the-land-of-the-moon-review.html","R",0,"14 nominations.","$45,457","40","6.7"
"153","Fun Mom Dinner","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/fun-mom-dinner-review.html","R",0,"1 win & 1 nomination.","N/A","46","5.1"
"154","Gaga: Five Foot Two","2017-09-22","2017-09-21","http://www.nytimes.com/2017/09/21/movies/gaga-five-foot-two-review.html","",0,"1 nomination.","N/A","63","7.1"
"155","Geostorm","2017-10-20","2017-10-20","http://www.nytimes.com/2017/10/20/movies/geostorm-review-gerard-butler.html","PG-13",0,"N/A","$33,681,965","21","5.3"
"156","Get Me Roger Stone","2017-05-12","2017-05-11","http://www.nytimes.com/2017/05/11/movies/get-me-roger-stone-review-donald-trump.html","",0,"2 wins.","N/A","75","7.4"
"157","Get Out","2017-02-24","2017-02-23","http://www.nytimes.com/2017/02/23/movies/get-out-review-jordan-peele.html","R",1,"Won 1 Oscar. Another 122 wins & 181 nominations.","$175,428,355","84","7.7"
"158","Ghost in the Shell","2017-03-31","2017-03-30","http://www.nytimes.com/2017/03/30/movies/ghost-in-the-shell-review-scarlett-johansson.html","PG-13",0,"2 wins & 6 nominations.","$40,533,014","52","6.4"
"159","Gifted","2017-04-07","2017-04-06","http://www.nytimes.com/2017/04/06/movies/gifted-review.html","PG-13",0,"6 wins & 7 nominations.","$24,799,765","60","7.6"
"160","Gilbert","2017-04-01","2017-11-02","http://www.nytimes.com/2017/11/02/movies/wait-for-your-laugh-review-gilbert-gottfried-rose-marie.html","",0,"1 win.","N/A","73","7.6"
"161","Girls Trip","2017-07-21","2017-07-19","http://www.nytimes.com/2017/07/19/movies/girls-trip-review-dargis-queen-latifah-regina-hall-tiffany-haddish-jada-pinkett-smith.html","R",0,"10 wins & 32 nominations.","$115,088,305","71","6.2"
"162","God's Own Country","2017-10-25","2017-10-24","http://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html","",1,"Nominated for 1 BAFTA Film Award. Another 23 wins & 28 nominations.","N/A","85","7.7"
"163","Going in Style","2017-04-07","2017-04-06","http://www.nytimes.com/2017/04/06/movies/going-in-style-review.html","PG-13",0,"N/A","N/A","50","6.6"
"164","Gold","2017-01-27","2017-01-26","http://www.nytimes.com/2017/01/26/movies/gold-review-matthew-mcconaughey.html","R",0,"Nominated for 1 Golden Globe. Another 1 win & 3 nominations.","$7,222,964","49","6.7"
"165","Good Time","2017-08-11","2017-08-10","http://www.nytimes.com/2017/08/10/movies/good-time-review-robert-pattinson.html","R",0,"6 wins & 36 nominations.","$1,999,047","80","7.3"
"166","Growing Up Smith","2017-02-03","2017-02-02","http://www.nytimes.com/2017/02/02/movies/growing-up-smith-review.html","PG-13",0,"5 wins & 8 nominations.","$14,867","N/A","6.8"
"167","Guardians of the Galaxy Vol. 2","2017-05-05","2017-05-04","http://www.nytimes.com/2017/05/04/movies/guardians-of-the-galaxy-2-review-chris-pratt.html","PG-13",0,"Nominated for 1 Oscar. Another 12 wins & 42 nominations.","$389,804,217","67","7.7"
"168","Handsome Devil","2017-06-02","2017-06-01","http://www.nytimes.com/2017/06/01/movies/handsome-devil-review.html","",0,"4 wins & 1 nomination.","N/A","60","7.1"
"169","Hangman","2017-11-24","2017-12-21","http://www.nytimes.com/2017/12/21/movies/hangman-review-al-pacino.html","R",0,"N/A","N/A","31","5.2"
"170","Happy Death Day","2017-10-13","2017-10-12","http://www.nytimes.com/2017/10/12/movies/happy-death-day-review.html","PG-13",0,"1 nomination.","$55,398,005","57","6.5"
"171","Happy End","2017-12-22","2017-12-21","http://www.nytimes.com/2017/12/21/movies/happy-end-review-michael-haneke.html","R",1,"5 nominations.","&pound;83,292","72","6.8"
"172","Harmonium","2017-06-16","2017-06-15","http://www.nytimes.com/2017/06/15/movies/harmonium-review.html","Not Rated",1,"4 wins & 6 nominations.","N/A","84","6.9"
"173","Harold and Lillian: A Hollywood Love Story","2017-04-28","2017-04-27","http://www.nytimes.com/2017/04/27/movies/harold-and-lillian-review.html","",1,"1 nomination.","N/A","75","8.2"
"174","Hello Again","2017-11-08","2017-11-07","http://www.nytimes.com/2017/11/07/movies/hello-again-review.html","",0,"1 nomination.","N/A","N/A","5.1"
"175","Hidden Figures","2017-01-06","2016-12-22","http://www.nytimes.com/2016/12/22/movies/hidden-figures-review.html","PG",0,"Nominated for 3 Oscars. Another 36 wins & 81 nominations.","$169,385,416","74","7.8"
"176","Hollow in the Land","2017-12-08","2017-12-07","http://www.nytimes.com/2017/12/07/movies/hollow-in-the-land-review-dianna-agron.html","",0,"N/A","N/A","58","5.6"
"177","Home Again","2017-09-08","2017-09-06","http://www.nytimes.com/2017/09/06/movies/home-again-review-hallie-meyers-shyer.html","PG-13",0,"N/A","$26,353,346","41","5.8"
"178","How Heavy This Hammer","2017-02-17","2017-02-16","http://www.nytimes.com/2017/02/16/movies/how-heavy-this-hammer-review.html","",0,"1 nomination.","N/A","47","6.7"
"179","How to Be a Latin Lover","2017-04-28","2017-04-28","http://www.nytimes.com/2017/04/28/movies/how-to-be-a-latin-lover-review-eugenio-derbez.html","PG-13",0,"2 wins & 2 nominations.","$32,088,029","54","5.9"
"180","I Am Not Your Negro","2017-02-03","2017-02-02","http://www.nytimes.com/2017/02/02/movies/review-i-am-not-your-negro-review-james-baldwin.html","PG-13",1,"Nominated for 1 Oscar. Another 25 wins & 45 nominations.","$7,120,626","95","7.8"
"181","I Called Him Morgan","2017-03-24","2017-03-23","http://www.nytimes.com/2017/03/23/movies/i-called-him-morgan-review.html","",0,"1 win & 6 nominations.","$8,544","90","7.2"
"182","I Do... Until I Don't","2017-09-01","2017-08-31","http://www.nytimes.com/2017/08/31/movies/i-do-until-i-dont-review.html","R",0,"N/A","$279,263","43","4.5"
"183","I Dream in Another Language","2017-07-28","2017-07-27","http://www.nytimes.com/2017/07/27/movies/i-dream-in-another-language-review.html","Not Rated",0,"8 wins & 3 nominations.","N/A","64","7.5"
"184","I Remember You","2017-11-10","2017-11-09","http://www.nytimes.com/2017/11/09/movies/i-remember-you-review.html","",1,"2 nominations.","N/A","N/A","6.2"
"185","I, Tonya","2017-12-08","2017-12-06","http://www.nytimes.com/2017/12/06/movies/i-tonya-review-margot-robbie.html","R",0,"Nominated for 3 Oscars. Another 31 wins & 109 nominations.","$28,950,158","77","7.5"
"186","Icarus","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/icarus-review.html","",0,"Won 1 Oscar. Another 5 wins & 9 nominations.","N/A","68","8.0"
"187","Imperfections","2017-07-28","2017-07-27","http://www.nytimes.com/2017/07/27/movies/imperfections-review.html","",0,"N/A","N/A","45","5.5"
"188","In Pursuit of Silence","2017-06-23","2017-06-22","http://www.nytimes.com/2017/06/22/movies/in-pursuit-of-silence-review.html","",0,"2 wins & 3 nominations.","N/A","70","7.2"
"189","In Search of Fellini","2017-09-15","2017-09-14","http://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html","R",0,"4 wins.","$10,796","55","6.2"
"190","In the Fade","2017-12-27","2017-12-26","http://www.nytimes.com/2017/12/26/movies/in-the-fade-review-diane-kruger.html","R",0,"Won 1 Golden Globe. Another 13 wins & 17 nominations.","N/A","65","7.1"
"191","In Transit","2017-06-23","2017-06-22","http://www.nytimes.com/2017/06/22/movies/in-transit-review-albert-maysles.html","",1,"1 win & 4 nominations.","N/A","90","7.7"
