"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","omdb.Awards","omdb.BoxOffice","omdb.Metascore","omdb.imdbRating"
"442","The Skyjacker's Tale","2017-06-30","2017-06-29","http://www.nytimes.com/2017/06/29/movies/the-skyjackers-tale-review.html","",0,"2 nominations.","$6,253","54","6.0"
"443","The Snowman","2017-10-20","2017-10-19","http://www.nytimes.com/2017/10/19/movies/the-snowman-review-michael-fassbender-jo-nesbo.html","R",0,"1 nomination.","$6,658,715","23","5.1"
"444","The Son of Joseph","2017-01-13","2017-01-12","http://www.nytimes.com/2017/01/12/movies/the-son-of-joseph-review.html","",1,"3 wins & 1 nomination.","$28,753","75","6.6"
"445","The Space Between Us","2017-02-03","2017-02-02","http://www.nytimes.com/2017/02/02/movies/review-the-space-between-us-the-story-of-a-boy-who-fell-to-earth.html","PG-13",0,"4 nominations.","$7,829,766","33","6.4"
"446","The Sunshine Makers","2017-01-13","2017-01-19","http://www.nytimes.com/2017/01/19/movies/the-sunshine-makers-review.html","",0,"1 nomination.","N/A","68","6.9"
"447","The Teacher","2017-08-30","2017-08-29","http://www.nytimes.com/2017/08/29/movies/the-teacher-review-jan-hrebejk.html","Not Rated",0,"8 wins & 14 nominations.","N/A","77","7.3"
"448","The Ticket","2017-04-07","2017-04-06","http://www.nytimes.com/2017/04/06/movies/the-ticket-review.html","Not Rated",0,"1 nomination.","N/A","52","5.3"
"449","The Tiger Hunter","2017-09-22","2017-09-21","http://www.nytimes.com/2017/09/21/movies/the-tiger-hunter-review.html","",0,"N/A","$39,553","66","5.7"
"450","The Tribes of Palos Verdes","2017-12-01","2017-11-30","http://www.nytimes.com/2017/11/30/movies/the-tribes-of-palos-verdes-review-jennifer-garner.html","R",0,"1 win.","N/A","49","5.7"
"451","The Trip to Spain","2017-08-11","2017-08-10","http://www.nytimes.com/2017/08/10/movies/trip-to-spain-review.html","",0,"N/A","$1,120,322","66","6.6"
"452","The Unknown Girl","2017-08-25","2017-09-07","http://www.nytimes.com/2017/09/07/movies/the-unknown-girl-review-dardenne-brothers.html","",1,"1 win & 5 nominations.","$142,332","65","6.5"
"453","The Untamed","2017-07-21","2017-07-20","http://www.nytimes.com/2017/07/20/movies/the-untamed-review.html","",0,"2 wins & 12 nominations.","N/A","72","6.2"
"454","The Villainess","2017-08-25","2017-08-24","http://www.nytimes.com/2017/08/24/movies/the-villainess-review.html","",0,"4 wins & 7 nominations.","$27,442","64","6.7"
"455","The Wall","2017-05-12","2017-05-11","http://www.nytimes.com/2017/05/11/movies/the-wall-review-john-cena-aaron-taylor-johnson.html","R",0,"1 nomination.","$1,803,009","57","6.2"
"456","The Wedding Plan","2017-05-12","2017-05-11","http://www.nytimes.com/2017/05/11/movies/the-wedding-plan-review.html","PG",1,"4 wins & 8 nominations.","N/A","72","6.6"
"457","The Woman Who Left","2017-05-19","2017-05-18","http://www.nytimes.com/2017/05/18/movies/the-woman-who-left-review-lav-diaz.html","",1,"3 wins & 24 nominations.","N/A","83","7.8"
"458","The Women's Balcony","2017-05-26","2017-05-25","http://www.nytimes.com/2017/05/25/movies/the-womens-balcony-review.html","",1,"5 nominations.","$1,187,629","74","6.6"
"459","The Wrong Light","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/the-wrong-light-review.html","",0,"N/A","N/A","54","8.1"
