"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"1" "1 Night" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/1-night-review-isabelle-fuhrman.html" "" 0
"2" "100 Streets" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/100-streets-review-idris-elba.html" "" 0
"3" "11/8/16" "2017-11-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html" "" 0
"4" "11:55" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/1155-review.html" "" 0
"5" "1945" "2017-11-01" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html" "" 0
"6" "20th Century Women" "2017-01-20" "2016-12-27" "http://www.nytimes.com/2016/12/27/movies/review-20th-century-women.html" "R" 1
"7" "32 Pills: My Sister's Suicide" "2017-11-29" "2017-11-30" "http://www.nytimes.com/2017/11/30/movies/32-pills-review.html" "" 0
"8" "4 Days in France" "2017-08-01" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/four-days-in-france-review.html" "" 0
"9" "47 Meters Down" "2017-06-16" "2017-06-15" "http://www.nytimes.com/2017/06/15/movies/47-meters-down-review.html" "PG-13" 0
"10" "6 Days" "2017-08-18" "2017-08-17" "http://www.nytimes.com/2017/08/17/movies/6-days-review-jamie-bell.html" "R" 0
"11" "68 Kill" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/68-kill-review.html" "" 0
"12" "78/52" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/78-52-hitchcocks-shower-scene-review.html" "" 1
"13" "A Bad Moms Christmas" "2017-11-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html" "R" 0
"14" "A Cure for Wellness" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/a-cure-for-wellness-review.html" "R" 0
"15" "A Dark Song" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/a-dark-song-review.html" "" 1
"16" "A Dog¡¯s Purpose" "2017-01-27" "2017-01-25" "http://www.nytimes.com/2017/01/25/movies/a-dogs-purpose-review.html" "PG" 0
"17" "A German Life" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/a-german-life-review-goebbels-secretary.html" "" 0
"18" "A Ghost Story" "2017-07-07" "2017-07-05" "http://www.nytimes.com/2017/07/05/movies/review-a-ghost-story.html" "R" 1
